"countryname","countrycode.x","regionname","regioncode","jurisdiction","date","c1_school.closing","c1_flag","c2_workplace.closing","c2_flag","c3_cancel.public.events","c3_flag","c4_restrictions.on.gatherings","c4_flag","c5_close.public.transport","c5_flag","c6_stay.at.home.requirements","c6_flag","c7_restrictions.on.internal.movement","c7_flag","c8_international.travel.controls","e1_income.support","e1_flag","e2_debt.contract.relief","e3_fiscal.measures","e4_international.support","h1_public.information.campaigns","h1_flag","h2_testing.policy","h3_contact.tracing","h4_emergency.investment.in.healthcare","h5_investment.in.vaccines","h6_facial.coverings","h6_flag","h7_vaccination.policy","h7_flag","m1_wildcard","confirmedcases","confirmeddeaths","stringencyindex","stringencyindexfordisplay","stringencylegacyindex","stringencylegacyindexfordisplay","governmentresponseindex","governmentresponseindexfordisplay","containmenthealthindex","containmenthealthindexfordisplay","economicsupportindex","economicsupportindexfordisplay","countrycode2","population.x","cases.x","deaths.x","cases_prev_week","deaths_prev_week.x","cases_infected.x","cum_deaths.x","cases_contagious.x","cases_active.x","p_cases_infected.x","p_cases","p_cases_contagious.x","p_cases_active.x","countrycode.y","population.y","cases.y","deaths.y","cum_cases","cum_deaths.y","deaths_prev_week.y","cases_infected.y","cases_infected_low","cases_infected_high","cases_daily","cases_contagious.y","cases_active.y","p_cases_infected.y","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious.y","p_cases_active.y","iso_code","country","sample_size","percent_cli","cli_se","percent_cli_unw","cli_se_unw","percent_ili","ili_se","percent_ili_unw","ili_se_unw","percent_mc","mc_se","percent_mc_unw","mc_se_unw","percent_dc","dc_se","percent_dc_unw","dc_se_unw","percent_hf","hf_se","percent_hf_unw","hf_se_unw","percent_cli_past_smooth","percent_cli_unw_past_smooth","percent_ili_past_smooth","percent_ili_unw_past_smooth","percent_mc_past_smooth","percent_mc_unw_past_smooth","percent_dc_past_smooth","percent_dc_unw_past_smooth","percent_hf_past_smooth","percent_hf_unw_past_smooth","population.x.x","total_responses","pct_cli","pct_ili","pct_fever","pct_cough","pct_difficulty_breathing","pct_fatigue","pct_stuffy_runny_nose","pct_aches_muscle_pain","pct_sore_throat","pct_chest_pain","pct_nausea","pct_anosmia_ageusia","pct_eye_pain","pct_headache","pct_cmnty_sick","pct_ever_tested","pct_tested_recently","pct_worked_outside_home","pct_grocery_outside_home","pct_ate_outside_home","pct_spent_time_with_non_hh","pct_attended_public_event","pct_used_public_transit","pct_direct_contact_with_non_hh","pct_wear_mask_all_time","pct_wear_mask_most_time","pct_wear_mask_half_time","pct_wear_mask_some_time","pct_wear_mask_none_time","pct_no_public","pct_feel_nervous_all_time","pct_feel_nervous_most_time","pct_feel_nervous_some_time","pct_feel_nervous_little_time","pct_feel_nervous_none_time","pct_feel_depressed_all_time","pct_feel_depressed_most_time","pct_feel_depressed_some_time","pct_feel_depressed_little_time","pct_feel_depressed_none_time","pct_worried_ill_covid19_very","pct_worried_ill_covid19_somewhat","pct_worried_ill_covid19_nottooworried","pct_worried_ill_covid19_notworried","pct_enough_toeat_very_worried","pct_enough_toeat_somewhat_worried","pct_enough_toeat_nottoo_worried","pct_enough_toeat_not_worried","pct_chills","pct_finances_very_worried","pct_finances_somewhat_worried","pct_finances_nottoo_worried","pct_finances_not_worried","pct_cli_past_smooth","pct_ili_past_smooth","pct_fever_past_smooth","pct_cough_past_smooth","pct_difficulty_breathing_past_smooth","pct_fatigue_past_smooth","pct_stuffy_runny_nose_past_smooth","pct_aches_muscle_pain_past_smooth","pct_sore_throat_past_smooth","pct_chest_pain_past_smooth","pct_nausea_past_smooth","pct_anosmia_ageusia_past_smooth","pct_eye_pain_past_smooth","pct_headache_past_smooth","pct_cmnty_sick_past_smooth","pct_ever_tested_past_smooth","pct_worked_outside_home_past_smooth","pct_grocery_outside_home_past_smooth","pct_ate_outside_home_past_smooth","pct_spent_time_with_non_hh_past_smooth","pct_attended_public_event_past_smooth","pct_used_public_transit_past_smooth","pct_direct_contact_with_non_hh_past_smooth","pct_wear_mask_all_time_past_smooth","pct_wear_mask_most_time_past_smooth","pct_wear_mask_half_time_past_smooth","pct_wear_mask_some_time_past_smooth","pct_wear_mask_none_time_past_smooth","pct_no_public_past_smooth","pct_feel_nervous_all_time_past_smooth","pct_feel_nervous_most_time_past_smooth","pct_feel_nervous_some_time_past_smooth","pct_feel_nervous_little_time_past_smooth","pct_feel_nervous_none_time_past_smooth","pct_feel_depressed_all_time_past_smooth","pct_feel_depressed_most_time_past_smooth","pct_feel_depressed_some_time_past_smooth","pct_feel_depressed_little_time_past_smooth","pct_feel_depressed_none_time_past_smooth","pct_worried_ill_covid19_very_past_smooth","pct_worried_ill_covid19_somewhat_past_smooth","pct_worried_ill_covid19_nottooworried_past_smooth","pct_worried_ill_covid19_notworried_past_smooth","pct_enough_toeat_very_worried_past_smooth","pct_enough_toeat_somewhat_worried_past_smooth","pct_enough_toeat_nottoo_worried_past_smooth","pct_enough_toeat_not_worried_past_smooth","pct_chills_past_smooth","pct_finances_very_worried_past_smooth","pct_finances_somewhat_worried_past_smooth","pct_finances_nottoo_worried_past_smooth","pct_finances_not_worried_past_smooth","population.y.y"
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-06,3,1,3,1,2,1,4,1,2,0,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,674,29,89.81,89.81,88.1,88.1,68.33,68.33,73.08,73.08,37.5,37.5,"BA",3300998,31,3,340,18,663,24,499,628,0.000200848349499151,9.39109929784871e-06,0.000151166404826662,0.000190245495453193,"BA",3300998,31,3,663,24,18,4650.16425399339,4311.34365341565,5015.61214494844,210.619746486641,4002.41949591301,4650.16425399339,0.0014087146535664,0.00130607278568955,0.00151942295782925,6.38048694627022e-05,0.00121248770702467,0.0014087146535664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-07,3,1,3,1,2,1,4,1,2,0,3,0,2,0,3,1,0,1,47732500,0,2,1,2,0,0,0,3,1,0,NA,NA,764,33,89.81,89.81,88.1,88.1,68.33,68.33,73.08,73.08,37.5,37.5,"BA",3300998,32,4,342,20,695,28,522,651,0.000210542387484028,9.69403798487609e-06,0.000158133994628291,0.000197213085254823,"BA",3300998,32,4,695,28,20,5018.25026379782,4702.84157002961,5354.81268826759,368.086009804428,4019.9456994163,5018.25026379782,0.0015202221460897,0.00142467265052254,0.00162217992506133,0.0001115074925233,0.00121779707210253,0.0015202221460897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-08,3,1,3,1,2,1,4,1,2,0,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,804,34,89.81,89.81,88.1,88.1,68.33,68.33,73.08,73.08,37.5,37.5,"BA",3300998,86,4,368,20,781,32,568,719,0.000236595114568382,2.60527270843545e-05,0.000172069174231551,0.000217812915972685,"BA",3300998,86,4,781,32,20,5752.08175574833,5433.83182840955,6088.9710189093,733.831491950508,4753.77719136681,5752.08175574833,0.00174252809476053,0.00164611787962597,0.00184458488581614,0.000222305948670829,0.00144010302077336,0.00174252809476053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-09,3,1,3,1,2,1,4,1,2,0,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,858,35,89.81,89.81,88.1,88.1,68.33,68.33,73.08,73.08,37.5,37.5,"BA",3300998,35,3,352,22,816,35,583,724,0.00024719796861434,1.06028540459582e-05,0.000176613254536961,0.000219327609407822,"BA",3300998,35,3,816,35,22,5917.22210528865,5615.76379366433,6234.86291977213,165.140349540325,4806.9929832311,5302.25449226439,0.00179255549542552,0.00170123211030856,0.00188878118671145,5.00274006649882e-05,0.00145622414288985,0.00160625801417159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-10,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,901,36,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,59,1,343,19,875,36,618,750,0.000265071351148956,1.78733825346153e-05,0.000187216108582919,0.000227204015270533,"BA",3300998,59,1,875,36,19,5908.07016022529,5612.87475500108,6218.79064503334,0,4622.17798482558,5302.25449226439,0.00178978301720428,0.00170035690872914,0.00188391227290454,0,0.00140023652992991,0.00160625801417159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-11,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,946,37,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,26,1,315,19,901,37,578,770,0.000272947757011667,7.87640586271182e-06,0.000175098561101824,0.000233262789011081,"BA",3300998,26,1,901,37,19,5693.49990593097,5414.52594475127,5986.8475116015,0,4279.97234327741,5302.25449226439,0.00172478138609323,0.00164026938057862,0.00181364772459768,0,0.00129656920218595,0.00160625801417159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-12,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1009,39,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,47,0,316,16,948,37,595,784,0.000287185875301954,1.42381182902868e-05,0.00018024851878129,0.000237503930629464,"BA",3300998,47,0,948,37,16,5487.58552311872,5216.66943105955,5772.57103818937,0,3897.11264655867,5269.47734720827,0.00166240195332403,0.00158033098810104,0.00174873509108135,0,0.00118058618834627,0.00159632854888378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-13,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1037,39,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,59,1,344,14,1007,38,594,834,0.000305059257836569,1.78733825346153e-05,0.000179945580094262,0.000252650864980833,"BA",3300998,59,1,1007,38,14,5519.63015211686,5252.72399495881,5800.09858606639,0,2902.75156475201,4918.91754090713,0.00167210951115901,0.00159125331035002,0.0017570742502923,0,0.00087935574779264,0.00149013042143835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-14,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1083,40,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,21,0,333,10,1028,38,564,815,0.000311420970264144,6.36171242757493e-06,0.000170857419483441,0.000246895029927313,"BA",3300998,21,0,1028,38,10,5222.03452148118,4968.0870982714,5488.96265386117,0,2779.5011224309,4918.91754090713,0.00158195628154915,0.00150502578258799,0.00166281913950301,0,0.000842018420620339,0.00149013042143835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-15,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1110,41,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,45,1,292,7,1073,39,541,840,0.000325053211180376,1.3632240916232e-05,0.000163889829681811,0.000254468497102997,"BA",3300998,45,1,1073,39,7,5208.75492322632,4960.77829521508,5469.12726908272,0,1875.4070449985,4806.9929832311,0.00157793337748957,0.00150281166338637,0.00165681023408155,0,0.000568133347853741,0.00145622414288985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-16,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1167,43,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,27,1,284,5,1100,40,514,843,0.000333232555730116,8.1793445497392e-06,0.000155710485132072,0.000255377313164079,"BA",3300998,27,1,1100,40,5,5125.17631758378,4886.25694653983,5375.77793671344,0,1848.7951339673,4622.17798482558,0.00155261418443264,0.00148023626386318,0.00162853110989871,0,0.000560071570466658,0.00140023652992991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-17,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1214,46,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,52,1,277,5,1152,41,520,829,0.000348985367455539,1.57528117254236e-05,0.000157528117254236,0.000251136171545696,"BA",3300998,52,1,1152,41,5,5172.25776549815,4936.10052389942,5419.71344854665,0,1477.6775977819,4279.97234327741,0.00156687697644717,0.00149533581174524,0.00164184087616735,0,0.000447645711321819,0.00129656920218595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-18,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1268,47,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,58,3,309,7,1210,44,547,857,0.000366555811303127,1.75704438475879e-05,0.000165707461803976,0.000259618454782463,"BA",3300998,58,3,1210,44,7,5503.41762695462,5268.4191375163,5748.89825317759,0,1267.05785129526,3897.11264655867,0.00166719811007296,0.0015960079762291,0.0017415636886716,0,0.000383840841859117,0.00118058618834627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-19,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1285,48,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,44,1,306,8,1254,45,559,841,0.000379885113532332,1.33293022292046e-05,0.000169342726048304,0.000254771435790025,"BA",3300998,44,1,1254,45,8,5521.23460114229,5289.91152133908,5762.67323146725,0,898.971841490833,2902.75156475201,0.00167259556084017,0.00160251885076546,0.0017457366625085,0,0.000272333349335817,0.00087935574779264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",NA,NA,"NAT_TOTAL",2020-04-20,3,1,3,1,2,1,4,1,2,1,3,0,2,0,3,1,0,1,0,0,2,1,2,0,0,0,3,1,0,NA,NA,1309,49,92.59,92.59,92.86,92.86,70,70,75,75,37.5,37.5,"BA",3300998,15,1,262,8,1269,46,488,805,0.000384429193837742,4.54408030541067e-06,0.00014783407926936,0.000243865643057039,"BA",3300998,15,1,1269,46,8,5416.75260813424,5194.01966861437,5649.03690970361,0,165.140349540325,2779.5011224309,0.00164094392306031,0.00157346949880441,0.00171131182439481,0,5.00274006649882e-05,0.000842018420620339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
