Date,CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
2020-01-01,Aruba,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Australia,,3,2,2,4,1,3,2,4,2,3,2,0
2020-01-01,Bulgaria,,3,1,2,4,0,2,2,3,2,1,0,3
2020-01-01,China,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Croatia,,3,3,2,4,2,2,2,4,2,1,2,0
2020-01-01,Cyprus,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Czech Republic,,3,3,2,4,0,2,2,4,2,2,2,3
2020-01-01,Germany,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Israel,,3,3,2,4,1,2,1,4,2,1,2,3
2020-01-01,Luxembourg,,3,3,2,4,1,2,2,0,2,1,2,1
2020-01-01,Romania,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Slovak Republic,,3,2,2,0,0,2,2,2,2,3,2,4
2020-01-01,South Korea,,3,3,2,4,0,1,1,3,2,3,2,1
2020-01-01,South Sudan,,3,3,2,3,1,2,2,4,2,2,1,0
2020-01-01,Sri Lanka,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,United Kingdom,,3,3,2,4,1,2,2,0,2,1,0,0
2020-01-01,United States,Alaska,3,3,2,4,2,2,2,3,2,1,2,1
2020-01-01,United States,Missouri,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,United States,South Carolina,3,3,2,4,1,2,2,3,2,1,1,1
2020-01-01,Vietnam,,3,3,2,4,2,2,2,3,2,1,2,2
