"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings"
2020-11-01,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-03,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-04,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-05,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-06,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-07,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-09,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-10,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-11,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-12,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-13,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-14,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-16,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-17,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-18,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-19,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-20,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-21,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-22,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-23,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-24,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-25,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-26,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-27,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-30,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-09,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-10,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-11,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-12,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-13,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,"Australia","",0,0,0,0,0,0,0,0,0,0,0,0
