"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings"
2020-11-01,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-03,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-04,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-05,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-06,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-07,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-09,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-10,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-11,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-12,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-13,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-14,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-16,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-17,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-18,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-19,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-20,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-21,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-22,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-23,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-24,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-25,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-26,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-27,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-11-30,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-09,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-10,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-11,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-12,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-13,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-16,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-17,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-18,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-19,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-20,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-21,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-22,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-23,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-24,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-25,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-26,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,"Aruba","",0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-02,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-03,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-04,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-05,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-06,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-07,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-08,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-09,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-10,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-11,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-12,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-13,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-14,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-15,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-16,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-17,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-18,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-19,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-20,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-21,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-22,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-23,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-24,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-25,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-26,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-27,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-28,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-29,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-30,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-01-31,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-01,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-02,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-03,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-04,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-05,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-06,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-07,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-08,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
2021-02-09,"Aruba","",3,3,2,4,0,2,2,4,2,1,1,0
