Attribute,Best Lag,Miscoding
c1_school.closing,1,0.0013984431782485685
c2_workplace.closing,25,0.0031720487837309094
c2_flag,28,0.0014233559649900881
c3_cancel.public.events,1,0.0015823074143767187
c3_flag,29,9.416179256043942e-05
c4_restrictions.on.gatherings,1,0.0018215911691985987
c4_flag,29,0.0017983271400906096
c5_close.public.transport,22,0.00310026909564594
c5_flag,1,0.0010127241096409589
c6_stay.at.home.requirements,1,0.001983844153000261
c6_flag,29,0.0013373568100985295
c7_restrictions.on.internal.movement,1,0.0010567808497329884
c7_flag,29,0.0018049942015636717
c8_international.travel.controls,1,0.0019813967188651222
e1_income.support,29,0.00042766586134080167
e2_debt.contract.relief,1,0.0021551503642762335
e3_fiscal.measures,1,5.055648765258564e-05
e4_international.support,1,2.5201020862620342e-05
h2_testing.policy,1,0.0011220961487900492
h4_emergency.investment.in.healthcare,1,5.055648765258564e-05
h6_facial.coverings,29,0.0023878527390128112
confirmedcases,25,0.004925099105555569
confirmeddeaths,29,0.004786867385104725
stringencyindex,9,0.0049400728198462215
stringencyindexfordisplay,9,0.004940182383176421
stringencylegacyindex,10,0.004586378496128486
stringencylegacyindexfordisplay,12,0.004385356780768075
governmentresponseindex,28,0.004802787116349065
governmentresponseindexfordisplay,28,0.004840581142095221
containmenthealthindex,2,0.0042982089287932485
containmenthealthindexfordisplay,2,0.0042948118402799836
economicsupportindex,27,0.0035129634576581996
economicsupportindexfordisplay,27,0.003493227590687329
cases,29,0.004334205559221236
deaths,28,0.0033427321879012637
avgdeaths7days,15,0.004381960840336106
owid_total_cases,21,0.004771496197563318
owid_new_cases,29,0.0036219474441325224
owid_new_cases_smoothed,29,0.0039713228631140605
owid_total_deaths,28,0.004538557092468224
owid_new_deaths,28,0.0020618051694612127
owid_new_deaths_smoothed,15,0.003506612180515532
owid_total_cases_per_million,21,0.004771496197563318
owid_new_cases_per_million,29,0.0036219474441325224
owid_new_cases_smoothed_per_million,29,0.0039713228631140605
owid_total_deaths_per_million,28,0.004538557092468224
owid_new_deaths_per_million,28,0.0020572252636705214
owid_new_deaths_smoothed_per_million,15,0.003506612180515532
owid_reproduction_rate,11,0.0017725833391449618
owid_new_tests,24,0.003590600401227675
owid_total_tests,18,0.005211152173019656
owid_total_tests_per_thousand,18,0.005211152173019656
owid_new_tests_per_thousand,24,0.003563381805378252
owid_new_tests_smoothed,21,0.004067198892365022
owid_new_tests_smoothed_per_thousand,21,0.004048455620473014
owid_positive_rate,29,0.004240248051431118
owid_tests_per_case,1,0.0006573994039557493
owid_stringency_index,10,0.004394939931057305
conf_cases,22,1.08286274460308e-06
conf_deaths,22,1.08286274460308e-06
conf_cases_prev_week,21,3.420817067340661e-05
conf_deaths_prev_week,21,3.420817067340661e-05
conf_cases_infected,20,7.157310564118987e-06
conf_cum_deaths,20,7.157310564118987e-06
conf_cases_contagious,20,7.157310564118987e-06
conf_cases_active,20,7.157310564118987e-06
conf_p_cases_infected,20,7.157310564118987e-06
conf_p_cases,22,1.08286274460308e-06
conf_p_cases_contagious,20,7.157310564118987e-06
conf_p_cases_active,20,7.157310564118987e-06
ccfr_cases,29,0.004334205559221236
ccfr_deaths,28,0.0033427321879012637
ccfr_cum_cases,25,0.004925099105555569
ccfr_cum_deaths,29,0.004786867385104725
ccfr_cases_infected,29,0.004541714544575694
ccfr_cases_infected_low,29,0.004472817836253074
ccfr_cases_infected_high,28,0.004360726038861616
ccfr_cases_daily,22,0.0020198337012040427
ccfr_cases_contagious,19,0.0038018732346331973
ccfr_cases_active,24,0.004306989395128546
ccfr_p_cases_infected,29,0.004541714544575694
ccfr_p_cases_infected_low,29,0.004472817836253074
ccfr_p_cases_infected_high,28,0.004360726038861616
ccfr_p_cases_daily,22,0.0020198337012040427
ccfr_p_cases_contagious,19,0.0038018732346331973
ccfr_p_cases_active,24,0.004306989395128546
umdapi_sample_size,6,0.0027593617315806404
umdapi_percent_cli,25,0.0009417774329315005
umdapi_cli_se,6,0.0016717232328633874
umdapi_percent_cli_unw,27,0.0011048908938889393
umdapi_cli_se_unw,6,0.0018500119065281444
umdapi_percent_ili,27,0.0009112414746564999
umdapi_ili_se,6,0.0016604005711064408
umdapi_percent_ili_unw,25,0.0009553901986175396
umdapi_ili_se_unw,6,0.0017381729060544262
umdapi_percent_mc,27,0.0007759085155393115
umdapi_mc_se,5,0.002072184017056995
umdapi_percent_mc_unw,29,0.00150260818100859
umdapi_mc_se_unw,5,0.002388146621044275
umdapi_percent_dc,9,0.002236752715426809
umdapi_dc_se,9,0.0027298509933442747
umdapi_percent_dc_unw,23,0.002917488660124685
umdapi_dc_se_unw,5,0.0027853443196391705
umdapi_percent_hf,17,0.0019299336885401951
umdapi_hf_se,1,0.0017282535527760497
umdapi_percent_hf_unw,17,0.0023414088400239004
umdapi_hf_se_unw,4,0.0019735480007723703
umdapi_percent_cli_smooth,23,0.002900158256438489
umdapi_percent_cli_smooth_low,8,0.0032183870428359107
umdapi_percent_cli_smooth_high,24,0.00287840345347579
umdapi_percent_cli_unw_smooth,29,0.0032191713711449904
umdapi_percent_cli_unw_smooth_low,27,0.003334309517437146
umdapi_percent_cli_unw_smooth_high,29,0.0031457712772980317
umdapi_percent_ili_smooth,29,0.0031245657824080218
umdapi_percent_ili_smooth_low,8,0.0031578097902817967
umdapi_percent_ili_smooth_high,24,0.003050313554242763
umdapi_percent_ili_unw_smooth,27,0.002132643947375126
umdapi_percent_ili_unw_smooth_low,29,0.002152155846182721
umdapi_percent_ili_unw_smooth_high,27,0.0020084473573784194
umdapi_percent_mc_smooth,29,0.0025554868251611673
umdapi_percent_mc_smooth_low,28,0.0026806486516451557
umdapi_percent_mc_smooth_high,29,0.002918211941075164
umdapi_percent_mc_unw_smooth,25,0.0034402200939556383
umdapi_percent_mc_unw_smooth_low,2,0.003595278035025741
umdapi_percent_mc_unw_smooth_high,29,0.003540444459745938
umdapi_percent_dc_smooth,23,0.0038925896680151073
umdapi_percent_dc_smooth_low,24,0.0036728455398681225
umdapi_percent_dc_smooth_high,9,0.004101019234408212
umdapi_percent_dc_unw_smooth,23,0.003673503788456742
umdapi_percent_dc_unw_smooth_low,23,0.0038208199847645443
umdapi_percent_dc_unw_smooth_high,23,0.003695042003023298
umdapi_percent_hf_smooth,6,0.002474918912145402
umdapi_percent_hf_smooth_low,6,0.002275989332595044
umdapi_percent_hf_smooth_high,23,0.0023952152972324405
umdapi_percent_hf_unw_smooth,5,0.002629399249680059
umdapi_percent_hf_unw_smooth_low,5,0.0022962892746623462
umdapi_percent_hf_unw_smooth_high,25,0.0028822826983808322
umdchl_total_responses,12,0.0035079093395010896
umdchl_pct_cli,23,0.0012762686069021571
umdchl_pct_ili,25,0.0012131703525192126
umdchl_pct_fever,28,0.0011022860262158906
umdchl_pct_cough,6,0.0011774604898746122
umdchl_pct_difficulty_breathing,20,0.0006374852240807026
umdchl_pct_fatigue,20,0.0011000796664426972
umdchl_pct_stuffy_runny_nose,27,0.0010485568477148913
umdchl_pct_aches_muscle_pain,20,0.00069623350034715
umdchl_pct_sore_throat,19,0.00048753585208889476
umdchl_pct_chest_pain,19,0.0005910039882251975
umdchl_pct_nausea,20,0.0008911586994193745
umdchl_pct_anosmia_ageusia,22,0.0005552527094712048
umdchl_pct_eye_pain,20,0.0009454179529463614
umdchl_pct_headache,21,0.0002562372361452004
umdchl_pct_cmnty_sick,26,0.0008915645833591263
umdchl_pct_ever_tested,20,0.0026694206569439385
umdchl_pct_tested_recently,23,0.0018867119890929312
umdchl_pct_worked_outside_home,20,0.003445275579341193
umdchl_pct_grocery_outside_home,23,0.002212409863828507
umdchl_pct_ate_outside_home,20,0.0034098031845588785
umdchl_pct_spent_time_with_non_hh,23,0.0031300630162745527
umdchl_pct_attended_public_event,26,0.002883081441928721
umdchl_pct_used_public_transit,24,0.003781738508417513
umdchl_pct_direct_contact_with_non_hh,20,0.0032163898222734412
umdchl_pct_wear_mask_all_time,1,0.002854866028537946
umdchl_pct_wear_mask_most_time,21,0.0022473778438548203
umdchl_pct_wear_mask_half_time,24,0.0016100301791795784
umdchl_pct_wear_mask_some_time,22,0.0013005376963640325
umdchl_pct_wear_mask_none_time,21,0.001531682043025923
umdchl_pct_no_public,24,0.0030853995131763902
umdchl_pct_feel_nervous_all_time,6,0.0004007027092599909
umdchl_pct_feel_nervous_most_time,7,0.00037099604632996424
umdchl_pct_feel_nervous_some_time,19,0.0006996466561577621
umdchl_pct_feel_nervous_little_time,2,0.0004711692904839486
umdchl_pct_feel_nervous_none_time,1,0.001086645186473996
umdchl_pct_feel_depressed_all_time,3,0.0003316747512756605
umdchl_pct_feel_depressed_most_time,29,0.0002852282313832275
umdchl_pct_feel_depressed_some_time,21,0.0003972149464709171
umdchl_pct_feel_depressed_little_time,12,0.0005165544666864664
umdchl_pct_feel_depressed_none_time,19,0.0006103203104686633
umdchl_pct_worried_ill_covid19_very,1,0.0021129510935908795
umdchl_pct_worried_ill_covid19_somewhat,6,0.0006579765025626131
umdchl_pct_worried_ill_covid19_nottooworried,7,0.0007699027973440988
umdchl_pct_worried_ill_covid19_notworried,29,0.000461173502197085
umdchl_pct_enough_toeat_very_worried,18,0.001133070641564923
umdchl_pct_enough_toeat_somewhat_worried,20,0.0018710781419919006
umdchl_pct_enough_toeat_nottoo_worried,1,0.0005117241870693216
umdchl_pct_enough_toeat_not_worried,20,0.0014965193965274842
umdchl_pct_chills,9,0.001396723864754838
umdchl_pct_finances_very_worried,24,0.0009095939746143605
umdchl_pct_finances_somewhat_worried,28,0.0002936813337269
umdchl_pct_finances_nottoo_worried,17,0.0005872424656701878
