Attribute,Best Lag,Miscoding
c1_school.closing,1,0.002718093786447109
c2_workplace.closing,10,0.006071596267296567
c3_cancel.public.events,1,0.002718093786447109
c4_restrictions.on.gatherings,1,0.0036107252051925188
c5_close.public.transport,10,0.006071596267296567
c6_stay.at.home.requirements,1,0.0055028563663533795
c7_restrictions.on.internal.movement,1,0.0008227221057760109
c8_international.travel.controls,16,0.00486885578584651
e1_income.support,1,0.0032807993406628803
e3_fiscal.measures,24,0.00012691619077883335
h1_public.information.campaigns,1,0.001667029360615018
h2_testing.policy,1,0.002923046489488652
h3_contact.tracing,1,0.002264447783407562
h4_emergency.investment.in.healthcare,16,4.205028542186037e-05
h6_facial.coverings,29,0.00479332980308461
confirmedcases,29,0.006909092079632176
confirmeddeaths,29,0.006418764990714591
stringencyindex,29,0.005152171700787408
stringencyindexfordisplay,19,0.005417117996680716
stringencylegacyindex,14,0.00614556260983928
stringencylegacyindexfordisplay,16,0.0061061381604557196
governmentresponseindex,6,0.005791944792432012
governmentresponseindexfordisplay,11,0.005491465262934783
containmenthealthindex,19,0.005298437929382302
containmenthealthindexfordisplay,19,0.005301414258166898
economicsupportindex,1,0.0032807993406628803
economicsupportindexfordisplay,1,0.0032409100523922703
cases,29,0.003488416806661104
deaths,1,0.0013065056458144155
avgdeaths7days,1,0.003776865668251937
owid_total_cases,24,0.006709116644894141
owid_new_cases,27,0.003114883298031293
owid_new_cases_smoothed,28,0.005943502815091674
owid_total_deaths,28,0.005986941874054146
owid_new_deaths,16,0.0009517497797844549
owid_new_deaths_smoothed,17,0.0032326995368303912
owid_total_cases_per_million,24,0.006709116644894141
owid_new_cases_per_million,27,0.003114883298031293
owid_new_cases_smoothed_per_million,28,0.005943502815091674
owid_total_deaths_per_million,28,0.005986941874054146
owid_new_deaths_per_million,16,0.0009371916385883577
owid_new_deaths_smoothed_per_million,17,0.0031855344969180044
owid_reproduction_rate,3,0.0031811679694800452
owid_new_tests,28,0.0035202718953125326
owid_total_tests,29,0.005598992123678588
owid_total_tests_per_thousand,29,0.005598992123678588
owid_new_tests_per_thousand,28,0.0035214277025490586
owid_new_tests_smoothed,19,0.005343592675522814
owid_new_tests_smoothed_per_thousand,19,0.005343592675522814
owid_positive_rate,29,0.002456279180519139
owid_tests_per_case,28,0.002101463043611879
owid_stringency_index,29,0.0034164416366310423
conf_cases,27,0.00015507304432700613
conf_deaths,29,3.167126753199206e-06
conf_cases_prev_week,26,4.501109141660326e-05
conf_deaths_prev_week,27,0.00015507304432700613
conf_cases_infected,26,0.0
conf_cum_deaths,26,0.0001592091250434404
conf_cases_contagious,26,0.0
conf_cases_active,26,0.0
conf_p_cases_infected,26,0.0
conf_p_cases,27,0.00015507304432700613
conf_p_cases_contagious,26,0.0
conf_p_cases_active,26,0.0
ccfr_cases,29,0.003488416806661104
ccfr_deaths,1,0.0013065056458144155
ccfr_cum_cases,29,0.006909092079632176
ccfr_cum_deaths,29,0.006418764990714591
ccfr_cases_infected,28,0.007081225699908866
ccfr_cases_infected_low,29,0.00707963935685619
ccfr_cases_infected_high,29,0.005509995643087815
ccfr_cases_daily,17,0.0016227728257951488
ccfr_cases_contagious,23,0.0029999044385387538
ccfr_cases_active,14,0.0032177961617397403
ccfr_p_cases_infected,28,0.007081225699908866
ccfr_p_cases_infected_low,29,0.00707963935685619
ccfr_p_cases_infected_high,29,0.005509995643087815
ccfr_p_cases_daily,17,0.0016227728257951488
ccfr_p_cases_contagious,23,0.0029999044385387538
ccfr_p_cases_active,14,0.0032177961617397403
umdapi_sample_size,25,0.0021759225346988653
umdapi_percent_cli,28,0.000818455224782791
umdapi_cli_se,25,0.000777459426476486
umdapi_percent_cli_unw,27,0.0008363875485945753
umdapi_cli_se_unw,27,0.0015224764970691415
umdapi_percent_ili,26,0.0007920428680270284
umdapi_ili_se,26,0.0008149011079045595
umdapi_percent_ili_unw,27,0.0009900211524605624
umdapi_ili_se_unw,27,0.0012773581342148846
umdapi_percent_mc,10,0.0012012521542395977
umdapi_mc_se,18,0.0018327248062007038
umdapi_percent_mc_unw,10,0.0013053083922428663
umdapi_mc_se_unw,17,0.0023228659546251423
umdapi_percent_dc,25,0.001701898845722889
umdapi_dc_se,19,0.001712429043373715
umdapi_percent_dc_unw,20,0.001616350378833672
umdapi_dc_se_unw,18,0.002034618006108017
umdapi_percent_hf,23,0.0016240842298214694
