"Attribute","Best.Lag","Miscoding"
"umdchl_pct_ever_tested_smooth_high",18,0.00749805588184608
"umdchl_pct_ever_tested_smooth",20,0.00743912594903238
"umdchl_pct_ever_tested_smooth_low",18,0.00741082617598166
"umdchl_pct_wear_mask_most_time_smooth_low",1,0.00724624661012739
"umdchl_pct_ever_tested",5,0.0070902474115324
"umdchl_pct_wear_mask_most_time_smooth",1,0.00704074249844928
"umdchl_pct_wear_mask_most_time_smooth_high",1,0.00696299145148015
"confirmedcases",26,0.00675951634721386
"ccfr_cum_cases",26,0.00675951634721386
"umdchl_pct_wear_mask_most_time",2,0.0067468105409999
"owid_total_cases",26,0.00674345481343777
"owid_total_cases_per_million",26,0.00674345481343777
"owid_new_tests_smoothed",19,0.00598439617092926
"owid_new_tests_smoothed_per_thousand",19,0.00598439617092926
"umdchl_pct_fatigue_smooth_high",7,0.00587741810539582
"owid_positive_rate",18,0.0054297056744415
"umdchl_pct_fatigue_smooth",7,0.00542450165451038
"ccfr_cases_infected_high",16,0.00539644811314938
"ccfr_p_cases_infected_high",16,0.00539644811314938
"umdchl_pct_fever_smooth",25,0.00530348507261446
"hosp_icu_weekly_admission",23,0.00522596294406027
"umdchl_pct_ili_smooth",21,0.00522136726980401
"ccfr_cases_infected_low",27,0.0051630326874352
"ccfr_p_cases_infected_low",27,0.0051630326874352
"umdchl_pct_fatigue_smooth_low",7,0.00512664365975378
"umdchl_pct_attended_public_event_smooth_high",19,0.0050993705403135
"ccfr_cases_infected",27,0.0050950297917851
"ccfr_p_cases_infected",27,0.0050950297917851
"umdchl_pct_attended_public_event_smooth",20,0.00508516681712117
"umdchl_pct_cli_smooth",25,0.0050810264929195
"umdchl_pct_attended_public_event_smooth_low",20,0.00501007532732762
"umdchl_pct_ili_smooth_low",24,0.00487137516218377
"umdchl_pct_fever_smooth_low",16,0.00486291978500348
"umdchl_pct_worried_ill_covid19_nottooworried_smooth",15,0.00483726463830907
"umdchl_pct_worried_ill_covid19_nottooworried_smooth_high",14,0.00483164856030627
"umdchl_pct_worried_ill_covid19_nottooworried_smooth_low",15,0.004821436886088
"umdchl_pct_wear_mask_all_time_smooth",1,0.00479555715237317
"umdchl_pct_wear_mask_all_time_smooth_high",1,0.00479555715237317
"umdchl_pct_wear_mask_all_time_smooth_low",1,0.00479555715237316
"umdchl_pct_fever_smooth_high",29,0.00473050514511268
"umdchl_pct_cmnty_sick_smooth_low",23,0.0046680146693383
"umdchl_pct_wear_mask_all_time",1,0.00453123351333355
"umdchl_pct_cli_smooth_high",26,0.00451782878475571
"umdchl_pct_cli_smooth_low",28,0.0044654784517751
"umdchl_pct_wear_mask_half_time_smooth_low",1,0.0044467759053752
"umdchl_pct_cmnty_sick_smooth",29,0.00442886578095984
"umdchl_pct_wear_mask_half_time_smooth",1,0.00436399625254732
"umdchl_pct_wear_mask_half_time",1,0.00436399625254732
"umdchl_pct_wear_mask_half_time_smooth_high",1,0.00436399625254732
"umdchl_pct_ili_smooth_high",22,0.00434277108526246
"confirmeddeaths",5,0.0043376341451807
"ccfr_cum_deaths",5,0.0043376341451807
"umdchl_pct_cmnty_sick",29,0.00423828741328261
"umdchl_pct_sore_throat_smooth_low",18,0.00421120909719723
"umdchl_pct_sore_throat_smooth",18,0.00416940182980322
"owid_total_deaths",2,0.00413805112044914
"owid_total_deaths_per_million",2,0.00413805112044914
"umdchl_pct_spent_time_with_non_hh_smooth_high",15,0.00411111523559633
"umdchl_pct_direct_contact_with_non_hh_smooth_high",29,0.00409216555533335
"owid_new_cases_smoothed",26,0.00408882806674931
"owid_new_cases_smoothed_per_million",26,0.00408882806674931
"umdapi_percent_ili_unw_smooth_low",20,0.00408418589106196
"umdchl_pct_headache_smooth",17,0.00407476275839507
"umdchl_pct_spent_time_with_non_hh_smooth_low",13,0.00407199136094726
"umdchl_pct_spent_time_with_non_hh",24,0.00406325581265146
"umdchl_pct_direct_contact_with_non_hh_smooth",29,0.00405899337371434
"umdchl_pct_direct_contact_with_non_hh_smooth_low",28,0.00403925958740357
"umdchl_pct_headache_smooth_high",13,0.00403691834970328
"umdchl_pct_spent_time_with_non_hh_smooth",14,0.00400445748937286
"umdchl_pct_feel_nervous_little_time_smooth_low",5,0.0039897827536481
"umdchl_pct_sore_throat_smooth_high",17,0.00396622989357027
"umdchl_pct_headache_smooth_low",8,0.00395645591741467
"umdchl_pct_cough_smooth_high",1,0.00387788446457145
"umdchl_pct_cough_smooth_low",1,0.00387167221375426
"umdchl_pct_enough_toeat_not_worried_smooth_low",16,0.0038534376710099
"umdapi_percent_ili_smooth_low",24,0.00384659963220971
"umdchl_pct_cough_smooth",1,0.00383782131635864
"umdchl_pct_worried_ill_covid19_notworried_smooth",14,0.0038129112085518
"umdchl_pct_worried_ill_covid19_notworried_smooth_low",15,0.00381109948207158
"umdchl_pct_chills_smooth",12,0.00378800363999402
"umdchl_pct_eye_pain_smooth",14,0.00378005745962786
"umdchl_pct_eye_pain_smooth_high",14,0.00378005745962785
"conf_cases_infected",28,0.00377534729147985
"conf_p_cases_infected",28,0.00377534729147985
"umdapi_percent_cli_unw_smooth_low",23,0.00376891926574477
"umdchl_pct_feel_nervous_little_time_smooth",8,0.00376299383567927
"umdchl_pct_cmnty_sick_smooth_high",29,0.0037591040221741
"umdchl_pct_chest_pain_smooth_low",25,0.00374854650291361
"umdchl_pct_eye_pain_smooth_low",14,0.00373481486001766
"umdchl_pct_worried_ill_covid19_very_smooth_high",28,0.00370576807051674
"umdchl_pct_worried_ill_covid19_notworried_smooth_high",14,0.00370342258816619
"umdchl_pct_aches_muscle_pain_smooth_low",7,0.00369864607703094
"umdapi_percent_ili_smooth_high",29,0.00367439699657042
"umdchl_pct_worried_ill_covid19_very_smooth",28,0.00364993273130158
"umdchl_pct_feel_depressed_all_time_smooth_low",1,0.00363626701052091
"umdapi_percent_cli_smooth_low",24,0.0036330551074394
"umdchl_pct_chest_pain_smooth",23,0.00362623288386853
"umdapi_percent_ili_unw_smooth_high",25,0.00360034359085438
"owid_icu_patients",11,0.00358318187167454
"owid_icu_patients_per_million",11,0.00358318187167454
"hosp_icu_occupancy",11,0.00358318187167454
"umdchl_pct_difficulty_breathing_smooth_high",6,0.00355520706595722
"umdapi_percent_cli_unw_smooth_high",25,0.00355432067036765
"owid_tests_per_case",1,0.00355291261971965
"stringencylegacyindexfordisplay",24,0.00354360753113365
"umdchl_pct_worried_ill_covid19_very_smooth_low",28,0.00352776554468588
"umdchl_pct_anosmia_ageusia_smooth_low",11,0.00352737267929754
