"Attribute","Best.Lag","Miscoding"
"W_p_cases_stillsick",29,0.00754839870085191
"umdchl_pct_fever_smooth_high",5,0.00736793484984762
"owid_new_cases_smoothed",29,0.00726122004383318
"owid_new_cases_smoothed_per_million",29,0.00726122004383318
"umdchl_pct_fever_smooth",1,0.00712836994670554
"owid_total_cases",27,0.00703002668819582
"owid_total_cases_per_million",27,0.00703002668819582
"umdchl_pct_cmnty_sick_smooth",2,0.00702688596288993
"confirmedcases",27,0.00702385760775998
"ccfr_cum_cases",27,0.00702385760775998
"umdchl_pct_cmnty_sick_smooth_high",6,0.00696765540465241
"umdchl_pct_cmnty_sick_smooth_low",1,0.0069671904743913
"umdapi_percent_ili_unw_smooth",5,0.00661642436273318
"umdchl_pct_fever_smooth_low",1,0.00647667159032681
"umdapi_percent_ili_unw_smooth_low",1,0.00646898190446689
"umdapi_percent_cli_unw_smooth_low",1,0.00637647638798052
"owid_new_cases",29,0.00634264367721372
"owid_new_cases_per_million",29,0.00634264367721372
"umdchl_pct_finances_nottoo_worried_smooth",18,0.00626393510086155
"umdapi_percent_ili_smooth",1,0.0062621104227252
"cases",29,0.00623220358660739
"ccfr_cases",29,0.00623220358660739
"umdapi_percent_ili_smooth_high",1,0.00620655808095792
"umdapi_percent_cli_unw_smooth",1,0.00619223488991704
"umdapi_percent_ili_unw_smooth_high",1,0.00612183674558382
"owid_new_tests_smoothed",7,0.00605424293899079
"owid_new_tests_smoothed_per_thousand",7,0.00605424293899079
"umdapi_percent_cli_smooth",2,0.00600825501259401
"umdapi_percent_cli_unw_smooth_high",1,0.00594382626882373
"umdapi_percent_cli_smooth_high",2,0.00592232434775721
"W_p_cases_recent_smooth",1,0.00590050388718408
"W_p_cases_recent",1,0.0058935587798978
"umdchl_pct_enough_toeat_very_worried_smooth",6,0.00570704732559008
"umdchl_pct_enough_toeat_very_worried_smooth_high",7,0.00570457884991907
"W_p_cases_recent_smooth_low",1,0.00563093991475302
"umdchl_pct_enough_toeat_very_worried_smooth_low",4,0.0055695424801209
"umdapi_percent_ili_smooth_low",4,0.00556319055540585
"umdchl_pct_cli_smooth",1,0.00546190359036796
"W_p_cases_smooth_low",23,0.0054577036222721
"c2_flag",1,0.00545719190396433
"umdchl_pct_ili_smooth_high",2,0.00543950436495266
"umdapi_percent_cli_smooth_low",5,0.00542230293496147
"ccfr_cases_infected_high",29,0.00541267160748879
"ccfr_p_cases_infected_high",29,0.00541267160748879
"umdchl_pct_anosmia_ageusia_smooth_low",28,0.00539016027611045
"umdchl_pct_cli_smooth_high",2,0.00537706017654525
"owid_total_tests",8,0.00535989160716904
"owid_total_tests_per_thousand",8,0.00535989160716904
"owid_total_deaths",15,0.00530126914393727
"owid_total_deaths_per_million",15,0.00530126914393727
"umdchl_pct_ili_smooth_low",1,0.00525602177857361
"ccfr_cases_infected_low",26,0.00523996836881406
"ccfr_p_cases_infected_low",26,0.00523996836881406
"umdchl_pct_ili_smooth",1,0.00523018396208574
"umdchl_pct_cli_smooth_low",2,0.00521493972492023
"ccfr_cases_infected",26,0.00519451879183615
"ccfr_p_cases_infected",26,0.00519451879183615
"W_p_cases_smooth_high",29,0.00516217833486217
"ccfr_cases_contagious",29,0.00511072449762227
"ccfr_p_cases_contagious",29,0.00511072449762227
"W_p_cases_smooth",29,0.00510259686892797
"W_p_cases_recent_smooth_high",29,0.00502857961766092
"confirmeddeaths",15,0.00489524437320013
"ccfr_cum_deaths",15,0.00489524437320013
"owid_hosp_patients",28,0.00481073451393629
"owid_hosp_patients_per_million",28,0.00481073451393629
"hosp_hosp_occupancy",28,0.00481073451393629
"owid_positive_rate",28,0.00480370930156566
"umdchl_pct_nausea_smooth",17,0.00476649922309248
"umdchl_pct_nausea_smooth_high",17,0.00474276824932944
"umdchl_pct_anosmia_ageusia_smooth",29,0.00458940685630165
"ccfr_cases_active",29,0.00455262243296949
"ccfr_p_cases_active",29,0.00455262243296949
"umdchl_pct_nausea_smooth_low",16,0.00453012999795663
"W_p_cases",1,0.00450047499705799
"umdchl_pct_chills_smooth",1,0.00449377620685436
"umdchl_pct_ever_tested_smooth_high",3,0.00443915064479539
"umdchl_pct_ever_tested_smooth_low",1,0.00443768921893944
"umdchl_pct_ever_tested_smooth",2,0.00442718165572097
"umdchl_pct_cmnty_sick",28,0.00440432031027417
"owid_new_tests",1,0.00423380109163756
"owid_new_tests_per_thousand",1,0.00423380109163756
"umdchl_pct_chest_pain_smooth_high",1,0.00414268424391458
"umdchl_pct_chills_smooth_low",1,0.0041377651238455
"umdchl_pct_sore_throat_smooth",1,0.00406245130836588
"umdchl_pct_anosmia_ageusia_smooth_high",29,0.00404594302425238
"umdchl_pct_sore_throat_smooth_low",1,0.00402743609985134
"umdchl_pct_ever_tested",11,0.0040171428912952
"owid_new_deaths",29,0.00399791403050632
"owid_new_deaths_per_million",29,0.00399791403050632
"deaths",29,0.00399082429944811
"ccfr_deaths",29,0.00399082429944811
"hosp_hosp_weekly_admission",21,0.00397794837963267
"ccfr_cases_daily",29,0.00397468659675792
"ccfr_p_cases_daily",29,0.00397468659675792
"umdchl_pct_chest_pain_smooth",4,0.00396474521298953
"owid_icu_patients",28,0.00394327833472303
"owid_icu_patients_per_million",28,0.00394327833472303
"hosp_icu_occupancy",28,0.00394327833472303
"umdchl_pct_sore_throat_smooth_high",1,0.00393891024876383
"umdchl_pct_chest_pain_smooth_low",10,0.00390935560665745
"owid_new_deaths_smoothed",29,0.00389262013124795
"owid_new_deaths_smoothed_per_million",29,0.00389262013124795
"umdapi_hf_se_unw",20,0.0038742572198619
"avgdeaths7days",29,0.00382639058202108
"conf_cases_infected",15,0.0037700070300894
"conf_p_cases_infected",15,0.0037700070300894
"umdchl_pct_chills_smooth_high",29,0.00374005572700536
"umdchl_pct_enough_toeat_not_worried_smooth",22,0.0037077126056657
"umdchl_pct_enough_toeat_not_worried_smooth_high",22,0.00369901002841138
"umdchl_pct_enough_toeat_not_worried_smooth_low",23,0.00368910872103485
"umdchl_pct_cough_smooth_low",1,0.00362020365473237
"umdchl_pct_cough_smooth_high",1,0.00353021182112003
"umdchl_pct_cough_smooth",1,0.00352891815949617
"umdchl_pct_headache_smooth_low",27,0.00348303139203987
"umdchl_pct_worked_outside_home_smooth_high",6,0.00343569063307199
"umdchl_pct_headache_smooth",27,0.00342268542630201
"umdchl_pct_finances_somewhat_worried_smooth",8,0.00342083513475624
"umdchl_pct_feel_nervous_little_time_smooth",11,0.00341287959451044
