Attribute,Best Lag,Miscoding
c1_school.closing,1,0.013024710320715352
c2_workplace.closing,29,0.0078403196024845
c3_cancel.public.events,29,0.013813892568934397
c4_restrictions.on.gatherings,29,0.023324905747478485
c5_close.public.transport,29,0.00820947673329026
c6_stay.at.home.requirements,29,0.012682557701636761
c6_flag,26,0.0009310524796748524
c7_restrictions.on.internal.movement,29,0.01789126407220308
c7_flag,20,0.0022389431665225117
c8_international.travel.controls,1,0.01710194827422604
e3_fiscal.measures,17,0.00021869147666617796
e4_international.support,5,0.001120639444852896
h1_public.information.campaigns,29,0.006596654352617656
h2_testing.policy,29,0.015633001988030117
h3_contact.tracing,29,0.008614546387121138
h6_facial.coverings,17,0.007898632053421149
confirmedcases,28,0.02815575321300787
confirmeddeaths,19,0.03098912159197313
stringencyindex,1,0.022143245963050503
stringencyindexfordisplay,1,0.02100855254902662
stringencylegacyindex,4,0.027598694941235104
stringencylegacyindexfordisplay,4,0.026782732013131944
governmentresponseindex,16,0.025962571608057986
governmentresponseindexfordisplay,16,0.025092115592562154
containmenthealthindex,16,0.025962571608057986
containmenthealthindexfordisplay,16,0.025092115592562154
cases,26,0.010053775754837437
deaths,29,0.0035573172770923655
avgdeaths7days,28,0.0036974186880847377
owid_total_cases,28,0.03447569210861781
owid_new_cases,26,0.00834708197936019
owid_new_cases_smoothed,29,0.010894163162698338
owid_total_deaths,29,0.03034471693553535
owid_new_deaths,22,0.0035806999464113067
owid_new_deaths_smoothed,20,0.003757412169193297
owid_total_cases_per_million,28,0.03447569210861781
owid_new_cases_per_million,26,0.00834708197936019
owid_new_cases_smoothed_per_million,29,0.01111818743317326
owid_total_deaths_per_million,26,0.030103262973584195
owid_new_deaths_per_million,22,0.0035806999464113067
owid_new_deaths_smoothed_per_million,20,0.003757412169193297
owid_reproduction_rate,1,0.013606139350455492
owid_stringency_index,2,0.01474593921758503
conf_cases,19,0.0
conf_deaths,23,0.0009069304819589813
conf_cases_prev_week,16,0.0005614907299767824
conf_deaths_prev_week,16,5.7153871059948996e-05
conf_cases_infected,16,0.00019259552973941617
conf_cum_deaths,16,5.7153871059948996e-05
conf_cases_contagious,16,0.0005614907299767824
conf_cases_active,16,0.0005614907299767824
conf_p_cases_infected,16,0.00019259552973941617
conf_p_cases,19,0.0
conf_p_cases_contagious,16,0.0005614907299767824
conf_p_cases_active,16,0.0005614907299767824
ccfr_cases,26,0.010053775754837437
ccfr_deaths,29,0.0035573172770923655
ccfr_cum_cases,28,0.02815575321300787
ccfr_cum_deaths,19,0.03098912159197313
ccfr_cases_infected,18,0.03221354743600804
ccfr_cases_infected_low,29,0.03414778606661305
ccfr_cases_infected_high,26,0.029987265526320844
ccfr_cases_daily,1,0.008242353702244376
ccfr_cases_contagious,29,0.014846279517335303
ccfr_cases_active,29,0.01989214024492611
ccfr_p_cases_infected,18,0.03221354743600804
ccfr_p_cases_infected_low,29,0.03414778606661305
ccfr_p_cases_infected_high,26,0.029987265526320844
ccfr_p_cases_daily,1,0.008242353702244376
ccfr_p_cases_contagious,29,0.014846279517335303
ccfr_p_cases_active,29,0.01989214024492611
