"Date","CountryName","RegionName","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"United States","Georgia",0,0,0,0,0,0
2020-01-02,"United States","Georgia",0,0,NA,NA,0,0
2020-01-03,"United States","Georgia",0,0,NA,NA,0,0
2020-01-04,"United States","Georgia",0,0,NA,NA,0,0
2020-01-05,"United States","Georgia",0,0,NA,NA,0,0
2020-01-06,"United States","Georgia",0,0,NA,NA,0,0
2020-01-07,"United States","Georgia",0,0,NA,NA,0,0
2020-01-08,"United States","Georgia",0,0,NA,NA,0,0
2020-01-09,"United States","Georgia",0,0,NA,NA,0,0
2020-01-10,"United States","Georgia",0,0,NA,NA,0,0
2020-01-11,"United States","Georgia",0,0,NA,NA,0,0
2020-01-12,"United States","Georgia",0,0,NA,NA,0,0
2020-01-13,"United States","Georgia",0,0,NA,NA,0,0
2020-01-14,"United States","Georgia",0,0,NA,NA,0,0
2020-01-15,"United States","Georgia",0,0,NA,NA,0,0
2020-01-16,"United States","Georgia",0,0,NA,NA,0,0
2020-01-17,"United States","Georgia",0,0,NA,NA,0,0
2020-01-18,"United States","Georgia",0,0,NA,NA,0,0
2020-01-19,"United States","Georgia",0,0,NA,NA,0,0
2020-01-20,"United States","Georgia",0,0,NA,NA,0,0
2020-01-21,"United States","Georgia",0,0,NA,NA,0,0
2020-01-22,"United States","Georgia",0,0,NA,NA,0,0
2020-01-23,"United States","Georgia",0,0,NA,NA,0,0
2020-01-24,"United States","Georgia",0,0,NA,NA,0,0
2020-01-25,"United States","Georgia",0,0,NA,NA,0,0
2020-01-26,"United States","Georgia",0,0,NA,NA,0,0
2020-01-27,"United States","Georgia",0,0,NA,NA,0,0
2020-01-28,"United States","Georgia",0,0,NA,NA,0,0
2020-01-29,"United States","Georgia",0,0,NA,NA,0,0
2020-01-30,"United States","Georgia",0,0,0,0,0,0
2020-01-31,"United States","Georgia",0,0,0,0,0,0
2020-02-01,"United States","Georgia",0,0,0,0,0,0
2020-02-02,"United States","Georgia",0,0,0,0,0,0
2020-02-03,"United States","Georgia",0,0,0,0,0,0
2020-02-04,"United States","Georgia",0,0,0,0,0,0
2020-02-05,"United States","Georgia",0,0,0,0,0,0
2020-02-06,"United States","Georgia",0,0,0,0,0,0
2020-02-07,"United States","Georgia",0,0,0,0,0,0
2020-02-08,"United States","Georgia",0,0,0,0,0,0
2020-02-09,"United States","Georgia",0,0,0,0,0,0
2020-02-10,"United States","Georgia",0,0,0,0,0,0
2020-02-11,"United States","Georgia",0,0,0,0,0,0
2020-02-12,"United States","Georgia",0,0,0,0,0,0
2020-02-13,"United States","Georgia",0,0,0,0,0,0
2020-02-14,"United States","Georgia",0,0,0,0,0,0
2020-02-15,"United States","Georgia",0,0,0,0,0,0
2020-02-16,"United States","Georgia",0,0,0,0,0,0
2020-02-17,"United States","Georgia",0,0,0,0,0,0
2020-02-18,"United States","Georgia",0,0,0,0,0,0
2020-02-19,"United States","Georgia",0,0,0,0,0,0
2020-02-20,"United States","Georgia",0,0,0,0,0,0
2020-02-21,"United States","Georgia",0,0,0,0,0,0
2020-02-22,"United States","Georgia",0,0,0,0,0,0
2020-02-23,"United States","Georgia",0,0,0,0,0,0
2020-02-24,"United States","Georgia",0,0,0,0,0,0
2020-02-25,"United States","Georgia",0,0,0,0,0,0
2020-02-26,"United States","Georgia",0,0,0,0,0,0
2020-02-27,"United States","Georgia",0,0,0,0,0,0
2020-02-28,"United States","Georgia",0,0,0,0,0,0
2020-02-29,"United States","Georgia",0,0,0,0,0,0
2020-03-01,"United States","Georgia",0,0,0,0,0,0
2020-03-02,"United States","Georgia",0,0,0,0,0,0
2020-03-03,"United States","Georgia",0.285714285714286,0,0.285714285714286,0,0,0
2020-03-04,"United States","Georgia",0.285714285714286,0,0,0,0,0
2020-03-05,"United States","Georgia",0.285714285714286,0,0,0,0,0
2020-03-06,"United States","Georgia",0.428571428571429,0,0.142857142857143,0,0,0
2020-03-07,"United States","Georgia",0.714285714285714,0,0.285714285714286,0,0,0
2020-03-08,"United States","Georgia",0.714285714285714,0,0,0,0,0
2020-03-09,"United States","Georgia",1.42857142857143,0,0.714285714285714,0,0.0714285714285715,0.0214285714285714
2020-03-10,"United States","Georgia",2.14285714285714,0,0.714285714285714,0,0.0714285714285715,0.0214285714285714
2020-03-11,"United States","Georgia",3,0,0.857142857142857,0,0.0714285714285715,0.0214285714285714
2020-03-12,"United States","Georgia",4.14285714285714,0.142857142857143,1.14285714285714,0.142857142857143,0.107142857142857,0.0321428571428572
2020-03-13,"United States","Georgia",5.57142857142857,0.142857142857143,1.42857142857143,0,0.178571428571428,0.0535714285714285
2020-03-14,"United States","Georgia",9.71428571428571,0.142857142857143,4.14285714285714,0,0.178571428571428,0.0535714285714285
2020-03-15,"United States","Georgia",13.4285714285714,0.142857142857143,3.71428571428572,0,0.357142857142857,0.107142857142857
2020-03-16,"United States","Georgia",15.8571428571429,0.142857142857143,2.42857142857143,0,0.535714285714285,0.160714285714286
2020-03-17,"United States","Georgia",18.4285714285714,0.142857142857143,2.57142857142857,0,0.75,0.225
2020-03-18,"United States","Georgia",24.8571428571429,0.428571428571429,6.42857142857143,0.285714285714286,1.03571428571428,0.310714285714285
2020-03-19,"United States","Georgia",36.5714285714286,1.28571428571429,11.7142857142857,0.857142857142857,1.39285714285714,0.417857142857143
2020-03-20,"United States","Georgia",63.2857142857143,1.85714285714286,26.7142857142857,0.571428571428571,2.42857142857143,0.728571428571428
2020-03-21,"United States","Georgia",68.8571428571429,2.71428571428571,5.57142857142858,0.857142857142857,3.35714285714285,1.00714285714285
2020-03-22,"United States","Georgia",74.5714285714286,3.42857142857143,5.71428571428571,0.714285714285714,3.96428571428573,1.18928571428572
2020-03-23,"United States","Georgia",93,3.42857142857143,18.4285714285714,0,4.60714285714285,1.38214285714285
2020-03-24,"United States","Georgia",125.714285714286,4.42857142857143,32.7142857142857,1,6.21428571428573,1.86428571428572
2020-03-25,"United States","Georgia",150,5.28571428571429,24.2857142857143,0.857142857142857,9.14285714285715,2.74285714285714
2020-03-26,"United States","Georgia",176.857142857143,5.42857142857143,26.8571428571429,0.142857142857143,15.8214285714286,4.74642857142857
2020-03-27,"United States","Georgia",216.428571428571,7.14285714285714,39.5714285714286,1.71428571428571,17.2142857142857,5.16428571428572
2020-03-28,"United States","Georgia",258.714285714286,7,42.2857142857143,-0.142857142857143,18.6428571428571,5.59285714285714
2020-03-29,"United States","Georgia",290,7.85714285714286,31.2857142857143,0.857142857142857,23.25,6.975
2020-03-30,"United States","Georgia",290.857142857143,8.85714285714286,0.857142857142833,1,31.4285714285715,9.42857142857145
2020-03-31,"United States","Georgia",414.714285714286,11.2857142857143,123.857142857143,2.42857142857143,37.5,11.25
2020-04-01,"United States","Georgia",484.428571428571,14.1428571428571,69.7142857142857,2.85714285714286,44.2142857142858,13.2642857142857
2020-04-02,"United States","Georgia",546.142857142857,16.4285714285714,61.7142857142857,2.28571428571428,54.1071428571427,16.2321428571428
2020-04-03,"United States","Georgia",547.285714285714,17.1428571428571,1.14285714285722,0.714285714285715,64.6785714285715,19.4035714285714
2020-04-04,"United States","Georgia",542,18.8571428571429,-5.28571428571433,1.71428571428572,72.5,21.75
2020-04-05,"United States","Georgia",570.857142857143,18.7142857142857,28.8571428571429,-0.142857142857142,72.7142857142858,21.8142857142857
2020-04-06,"United States","Georgia",643.714285714286,20.2857142857143,72.8571428571428,1.57142857142857,103.678571428572,31.1035714285714
2020-04-07,"United States","Georgia",699,31.1428571428571,55.2857142857143,10.8571428571429,121.107142857143,36.3321428571428
2020-04-08,"United States","Georgia",751.857142857143,31.8571428571429,52.8571428571429,0.714285714285715,136.535714285714,40.9607142857143
2020-04-09,"United States","Georgia",745.428571428571,30.8571428571429,-6.42857142857144,-1,136.821428571428,41.0464285714285
2020-04-10,"United States","Georgia",807.714285714286,33.1428571428571,62.2857142857142,2.28571428571429,135.5,40.65
2020-04-11,"United States","Georgia",857,32.5714285714286,49.2857142857143,-0.571428571428577,142.714285714286,42.8142857142857
2020-04-12,"United States","Georgia",829.285714285714,31.7142857142857,-27.7142857142857,-0.857142857142854,160.928571428572,48.2785714285714
2020-04-13,"United States","Georgia",857.285714285714,33.7142857142857,28,2,174.75,52.425
2020-04-14,"United States","Georgia",822.285714285714,28,-35,-5.71428571428572,187.964285714286,56.3892857142857
2020-04-15,"United States","Georgia",726.571428571429,27.1428571428571,-95.7142857142858,-0.857142857142858,186.357142857143,55.9071428571428
2020-04-16,"United States","Georgia",729,29.7142857142857,2.42857142857144,2.57142857142857,201.928571428572,60.5785714285715
2020-04-17,"United States","Georgia",815.571428571429,33.4285714285714,86.5714285714286,3.71428571428572,214.25,64.275
2020-04-18,"United States","Georgia",787.142857142857,34.8571428571429,-28.4285714285714,1.42857142857142,207.321428571428,62.1964285714285
2020-04-19,"United States","Georgia",835.571428571429,36.2857142857143,48.4285714285714,1.42857142857143,214.321428571428,64.2964285714285
2020-04-20,"United States","Georgia",870.285714285714,44.2857142857143,34.7142857142858,8,205.571428571428,61.6714285714285
2020-04-21,"United States","Georgia",757.571428571429,39,-112.714285714286,-5.28571428571428,181.642857142857,54.4928571428572
2020-04-22,"United States","Georgia",889.571428571429,42.2857142857143,132,3.28571428571428,182.25,54.675
2020-04-23,"United States","Georgia",887.714285714286,42,-1.85714285714289,-0.285714285714285,203.892857142857,61.1678571428572
