count,"CountryName","RegionName"
1,"Brazil","Distrito Federal"
4,"Comoros",""
6,"Kiribati",""
10,"Vanuatu",""
12,"Belarus",""
15,"Bolivia",""
15,"Djibouti",""
15,"Nicaragua",""
16,"Burundi",""
16,"Canada","Yukon"
16,"Mexico",""
16,"Singapore",""
17,"Ethiopia",""
17,"Mali",""
17,"Palestine",""
17,"Tonga",""
18,"Brazil","Acre"
18,"Brazil","Goias"
18,"Canada","Northwest Territories"
18,"Honduras",""
18,"Macao",""
18,"Malawi",""
18,"Solomon Islands",""
19,"Canada","Newfoundland and Labrador"
19,"Egypt",""
19,"Eritrea",""
19,"Fiji",""
19,"Iceland",""
19,"Niger",""
19,"Sweden",""
19,"Taiwan",""
19,"United States","Washington"
20,"Bahamas",""
20,"Brazil","Santa Catarina"
20,"Brunei",""
20,"Cameroon",""
20,"Canada","Nunavut"
20,"Dominican Republic",""
20,"Ghana",""
20,"Madagascar",""
20,"Tanzania",""
21,"Argentina",""
21,"Bangladesh",""
21,"Brazil","Alagoas"
21,"Brazil","Rondonia"
21,"Central African Republic",""
21,"Chile",""
21,"Ecuador",""
21,"El Salvador",""
21,"Faeroe Islands",""
21,"Haiti",""
21,"Monaco",""
21,"Mozambique",""
21,"Togo",""
21,"United States Virgin Islands",""
21,"Yemen",""
21,"Zambia",""
22,"Belize",""
22,"Bhutan",""
22,"Burkina Faso",""
22,"Chad",""
22,"Laos",""
22,"Lesotho",""
22,"Somalia",""
22,"Turkmenistan",""
22,"United States","Colorado"
22,"United States","Tennessee"
22,"United States","Virgin Islands"
22,"United States","Virginia"
22,"Zimbabwe",""
23,"Bahrain",""
23,"Benin",""
23,"Cambodia",""
23,"Canada","British Columbia"
23,"Colombia",""
23,"Dominica",""
23,"Guatemala",""
23,"Mauritius",""
23,"Morocco",""
23,"Puerto Rico",""
23,"Qatar",""
23,"Slovenia",""
23,"Timor-Leste",""
23,"United States","Georgia"
23,"United States","South Dakota"
24,"Brazil","Paraiba"
24,"Cape Verde",""
24,"Cote d'Ivoire",""
24,"Eswatini",""
24,"Guam",""
24,"Hungary",""
24,"Kosovo",""
24,"Kuwait",""
24,"Libya",""
24,"Mauritania",""
24,"Nigeria",""
24,"Seychelles",""
24,"Ukraine",""
24,"United States","Mississippi"
24,"United States","New Mexico"
25,"Brazil","Para"
25,"Brazil","Roraima"
25,"Canada",""
25,"Canada","New Brunswick"
25,"Canada","Nova Scotia"
25,"Canada","Prince Edward Island"
25,"Canada","Quebec"
25,"Costa Rica",""
25,"Gambia",""
25,"Liberia",""
25,"Netherlands",""
25,"Russia",""
25,"United States","Illinois"
25,"United States","Kansas"
25,"United States","Louisiana"
25,"Uzbekistan",""
26,"Andorra",""
26,"Brazil","Ceara"
26,"Brazil","Espirito Santo"
26,"Cuba",""
26,"Democratic Republic of Congo",""
26,"France",""
26,"Gabon",""
26,"Iraq",""
26,"Kenya",""
26,"Syria",""
26,"United States","Hawaii"
26,"United States","Maine"
26,"United States","Ohio"
26,"United States","Vermont"
27,"Afghanistan",""
27,"Algeria",""
27,"Angola",""
27,"Bosnia and Herzegovina",""
27,"Brazil","Bahia"
27,"Brazil","Maranhao"
27,"Brazil","Minas Gerais"
27,"Brazil","Rio de Janeiro"
27,"Canada","Manitoba"
27,"Estonia",""
27,"Finland",""
27,"Iran",""
27,"Moldova",""
27,"Mongolia",""
27,"Philippines",""
27,"Rwanda",""
27,"Saudi Arabia",""
27,"Sierra Leone",""
27,"South Africa",""
27,"United States","New Jersey"
27,"United States","Oregon"
27,"United States","Wisconsin"
27,"Uruguay",""
28,"Bermuda",""
28,"Brazil","Amapa"
28,"Brazil","Parana"
28,"Brazil","Rio Grande do Norte"
28,"Canada","Saskatchewan"
28,"Guinea",""
28,"Jordan",""
28,"Malta",""
28,"Myanmar",""
28,"Norway",""
28,"United States",""
28,"United States","California"
28,"United States","Connecticut"
28,"United States","New York"
29,"Brazil","Amazonas"
29,"Brazil","Pernambuco"
29,"Brazil","Sergipe"
29,"Congo",""
29,"Guyana",""
29,"India",""
29,"Ireland",""
29,"Japan",""
29,"New Zealand",""
29,"Peru",""
29,"Senegal",""
29,"Serbia",""
29,"Trinidad and Tobago",""
29,"Uganda",""
29,"United States","Alabama"
29,"United States","Arizona"
29,"United States","Idaho"
29,"United States","Iowa"
29,"United States","Michigan"
29,"United States","Minnesota"
29,"United States","New Hampshire"
29,"United States","North Carolina"
29,"United States","North Dakota"
30,"Albania",""
30,"Brazil","Tocantins"
30,"Canada","Alberta"
30,"Denmark",""
30,"Greenland",""
30,"Lithuania",""
30,"Nepal",""
30,"Spain",""
30,"Tajikistan",""
30,"Thailand",""
30,"United States","Arkansas"
30,"United States","Florida"
30,"United States","Wyoming"
31,"Barbados",""
31,"Brazil","Mato Grosso"
