"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_fatalities_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
"2020-04-16",0,0,0,0,0,0,0,0
"2020-04-17",0,0,0,0,0,0,0,0
"2020-04-18",0,0,0,0,0,0,0,0
"2020-04-19",0,0,0,0,0,0,0,0
"2020-04-20",0,0,0,0,0,0,0,0
"2020-04-21",0,0,0,0,0,0,0,0
"2020-04-22",0,0,0,0,0,0,0,0
"2020-04-23",0,0,0,0,0,0,0,0
"2020-04-24",0,0,0,0,0,0,0,0
"2020-04-25",0,0,0,0,0,0,0,0
"2020-04-26",0,0,0,0,0,0,0,0
"2020-04-27",0,0,0,0,0,0,0,0
"2020-04-28",0,0,0,0,0,0,0,0
"2020-04-29",0,0,0,0,0,0,0,0
"2020-04-30",0,0,0,0,0,0,0,0
"2020-05-01",0,0,0,0,0,0,0,0
"2020-05-02",0,0,0,0,0,0,0,0
"2020-05-03",0,0,0,0,0,0,0,0
"2020-05-04",0,0,0,0,0,0,0,0
"2020-05-05",0,0,0,0,0,0,0,0
"2020-05-06",0,0,0,0,0,0,0,0
"2020-05-07",0,0,0,0,0,0,0,0
"2020-05-08",0,0,0,0,0,0,0,0
"2020-05-09",0,0,0,0,0,0,0,0
"2020-05-10",0,0,0,0,0,0,0,0
"2020-05-11",0,0,0,0,0,0,0,0
"2020-05-12",0,0,0,0,0,0,0,0
"2020-05-13",0,0,0,0,0,0,0,0
"2020-05-14",0,0,0,0,0,0,0,0
"2020-05-15",0.0045045045045045,0,0,0,0.0045045045045045,0,0,0
"2020-05-16",0.0045045045045045,0,0,0,0.0045045045045045,0,0,0
"2020-05-17",0.0045045045045045,0,0,0,0.0045045045045045,0,0,0
"2020-05-18",0.0045045045045045,0,0,0,0.0045045045045045,0,0,0
"2020-05-19",0.0045045045045045,0,0,0,0.0045045045045045,0,0,0
"2020-05-20",0.0045045045045045,0,0,0,0.0045045045045045,0,0,0
