"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings"
"Aruba","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Afghanistan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Angola","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Albania","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Andorra","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"United Arab Emirates","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Argentina","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Australia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Austria","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Azerbaijan","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Burundi","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Belgium","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Benin","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Burkina Faso","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bangladesh","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bulgaria","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bahrain","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bahamas","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bosnia and Herzegovina","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Belarus","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Belize","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bermuda","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
"Bolivia","","2020-01-01",0,0,0,0,0,0,0,4,0,0,0,1
