,h6_facial.coverings,h6_flag,h7_vaccination.policy,confirmedcases,confirmeddeaths,cases,deaths,avgcases7days,avgdeaths7days,population,owid_total_cases,owid_new_cases,owid_new_cases_smoothed,owid_total_deaths,owid_new_deaths,owid_new_deaths_smoothed,owid_total_cases_per_million,owid_new_cases_per_million,owid_new_cases_smoothed_per_million,owid_total_deaths_per_million,owid_new_deaths_per_million,owid_new_deaths_smoothed_per_million,owid_reproduction_rate,owid_population,owid_population_density,owid_median_age,owid_aged_65_older,owid_aged_70_older,owid_gdp_per_capita,owid_extreme_poverty,owid_cardiovasc_death_rate,owid_diabetes_prevalence,owid_female_smokers,owid_male_smokers,owid_handwashing_facilities,owid_hospital_beds_per_thousand,owid_life_expectancy,owid_human_development_index,conf_population,conf_cases,conf_deaths,conf_cases_prev_week,conf_deaths_prev_week,conf_cases_infected,conf_cum_deaths,conf_cases_contagious,conf_cases_active,conf_p_cases_infected,conf_p_cases,conf_p_cases_contagious,conf_p_cases_active,ccfr_population,ccfr_cases,ccfr_deaths,ccfr_cum_cases,ccfr_cum_deaths,ccfr_cases_infected,ccfr_cases_infected_low,ccfr_cases_infected_high,ccfr_cases_daily,ccfr_cases_contagious,ccfr_cases_active,ccfr_p_cases_infected,ccfr_p_cases_infected_low,ccfr_p_cases_infected_high,ccfr_p_cases_daily,ccfr_p_cases_contagious,ccfr_p_cases_active
h6_facial.coverings,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.02058190576768732,0.01920416705126076,0.001899369219731037,0.00044416849309229675,0.009765467184389661,0.0025636638631201976,0.032295294955800816,0.019044678303934616,0.0011522665901214466,0.007788012797592855,0.013750314351633288,0.0006399393273910967,0.003642010282160156,0.019044678303934616,0.0011522665901214466,0.007788012797592855,0.013750314351633288,0.0006399393273910967,0.003642010282160156,0.013821472069211482,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.032295294955800816,0.0017570115818888665,0.000999048263292917,0.003125175272133921,0.0024978277470709084,0.00792772641510444,0.009501198270327938,0.005812610117501438,0.009501198270327938,0.00792772641510444,0.0017570115818888665,0.005812610117501438,0.009501198270327938,0.032295294955800816,0.001954522190146491,0.0004452882252266877,0.021019170688290723,0.019640253710889982,0.012099861167605188,0.010136033574173373,0.0021804768219617827,7.614906496194559e-05,0.0009403960601281783,0.000719369229668622,0.012099861167605188,0.010136033574173373,0.0021804768219617827,7.614906496194559e-05,0.0009403960601281783,0.000719369229668622
h6_flag,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176
h7_vaccination.policy,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176
confirmedcases,0.017947720024151393,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.014561445261069608,0.0010832126220341753,0.0003745999282843278,0.005749198249161958,0.002341190544591343,0.028161965102089348,0.028161965102089348,0.001108756222482422,0.004789812223722985,0.009664916258269332,0.0004896124648513489,0.0029463627196472083,0.028161965102089348,0.001108756222482422,0.004789812223722985,0.009664916258269332,0.0004896124648513489,0.0029463627196472083,0.018763162675385033,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.028161965102089348,0.001670899280072247,0.004725872223834173,0.009722260154734437,0.012629855190407222,0.028161965102089348,0.014779457984600371,0.013784724749666877,0.012231714771888993,0.028161965102089348,0.001670899280072247,0.013784724749666877,0.012231714771888993,0.028161965102089348,0.0010843471185321407,0.0003739364874623153,0.028161965102089348,0.014561445261069608,0.011001927198756119,0.012186338043559316,0.0030893292377452463,4.918221224735437e-05,0.0006069608597335944,0.0009250655675363238,0.011001927198756119,0.012186338043559316,0.0030893292377452463,4.918221224735437e-05,0.0006069608597335944,0.0009250655675363238
confirmeddeaths,0.01666855959732858,0.02803121047880753,0.02803121047880753,0.014493837184621536,0.02803121047880753,0.0017604258363039418,0.0008370927824235722,0.008130388163699225,0.005076293046039186,0.02803121047880753,0.01017726642331365,0.0019037155453579084,0.004314295600964076,0.02803121047880753,0.0014801534381914069,0.00825614137325033,0.01017726642331365,0.0019037155453579084,0.004314295600964076,0.02803121047880753,0.0014801534381914069,0.00825614137325033,0.005173985228857025,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.02803121047880753,0.007883618408783538,0.006871807415911395,0.006587004062001177,0.010412903312427496,0.014710837685765381,0.02803121047880753,0.009291666073970261,0.012942984999303436,0.014710837685765381,0.007883618408783538,0.009291666073970261,0.012942984999303436,0.02803121047880753,0.001761560502491043,0.000835650994300108,0.014493837184621536,0.02803121047880753,0.010731975732572093,0.010005290781078048,0.003820716115205238,0.00020693556384717733,0.0027716215732052868,0.004560977044585148,0.010731975732572093,0.010005290781078048,0.003820716115205238,0.00020693556384717733,0.0027716215732052868,0.004560977044585148
cases,0.0022489394477693556,0.038239096458419,0.038239096458419,0.0014708161092021504,0.0024015050442867314,0.038239096458419,0.002456514284564188,0.003694595306439983,0.0035665395614992083,0.038239096458419,0.00149778559349228,0.038239096458419,0.0032907640917012896,0.0028204580720310474,0.0024743262582290052,0.0038271399575188964,0.00149778559349228,0.038239096458419,0.0032907640917012896,0.0028204580720310474,0.0024743262582290052,0.0038271399575188964,0.0017919992721875469,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.038239096458419,0.00047445778716571175,0.0003357237941014138,0.0009784283155868836,0.0005600458163672373,0.0008237510442466251,0.0003815607891055333,0.0008354206215300132,0.0008354206215300132,0.0008237510442466251,0.00047445778716571175,0.0008354206215300132,0.0008354206215300132,0.038239096458419,0.038239096458419,0.002456514284564188,0.00147235655997894,0.002403052912146718,0.0020960770591747944,0.0024715460233134478,0.005293697755782792,2.595117099166505e-05,0.0003169321244819783,0.0009378185688825,0.0020960770591747944,0.0024715460233134478,0.005293697755782792,2.595117099166505e-05,0.0003169321244819783,0.0009378185688825
deaths,0.00036935156731722306,0.02685538932726229,0.02685538932726229,0.0003572203459372158,0.0008019793719583469,0.0017252145999759332,0.02685538932726229,0.0008986485284005279,0.0037239841224949986,0.02685538932726229,0.0005395745239789835,0.0016515099051599424,0.0009752474795992387,0.0014765887978430135,0.02685538932726229,0.0034479887915466485,0.0005395745239789835,0.0016515099051599424,0.0009752474795992387,0.0014765887978430135,0.02685538932726229,0.0034479887915466485,0.000529735335623023,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.02685538932726229,0.0017252145999759332,0.02685538932726229,0.00035658768548521406,0.0008005980623137874,0.0007606183798171045,0.0010471352634435801,0.0008426606818839777,1.387776525487659e-05,9.613288128176366e-05,0.00010739052972856844,0.0007606183798171045,0.0010471352634435801,0.0008426606818839777,1.387776525487659e-05,9.613288128176366e-05,0.00010739052972856844
avgcases7days,0.010070407268479865,0.03330375976077014,0.03330375976077014,0.006798883409344361,0.009659678962860364,0.003217751617974119,0.0011144271391678902,0.03330375976077014,0.00369575029989119,0.03330375976077014,0.005705337545981414,0.002887909141958586,0.03330375976077014,0.005125795917378706,0.0013287515452330523,0.004170791906647913,0.005705337545981414,0.002887909141958586,0.03330375976077014,0.005125795917378706,0.0013287515452330523,0.004170791906647913,0.009050377646244128,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.03330375976077014,0.00364332222088957,0.0023913407385171195,0.003117546787418339,0.0019759710661611963,0.009366492885857036,0.0023388670040546283,0.001468254365437355,0.0019759710661611963,0.03330375976077014,0.0023388670040546283,0.001468254365437355,0.03330375976077014,0.003217751617974119,0.0011144271391678902,0.006798883409344361,0.00965967896286038,0.006470182444766868,0.006497433523823495,0.003129379414207144,4.320236921174805e-05,0.000530093044466166,0.0005726736480496502,0.006470182444766868,0.006497433523823495,0.003129379414207144,4.320236921174805e-05,0.000530093044466166,0.0005726736480496502
avgdeaths7days,0.002688869329815203,0.033872548329444176,0.033872548329444176,0.002815928845257483,0.00613412616149349,0.0031592740115374417,0.004697039787065852,0.0037588693152321513,0.033872548329444176,0.033872548329444176,0.0044923879360078325,0.003053338738803945,0.003942619782143324,0.011224060997268434,0.003906657862803459,0.02497028803890052,0.0044923879360078325,0.003053338738803945,0.003942619782143324,0.011224060997268434,0.003906657862803459,0.02497028803890052,0.004297172550531356,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.033872548329444176,0.0037055458270566764,0.033872548329444176,0.003958587905198174,0.005348716186119235,0.005684167802932354,0.00830380225577735,0.0040470400892240535,0.005921877354078364,0.005684167802932354,0.0037055458270566764,0.0040470400892240535,0.005921877354078364,0.033872548329444176,0.0031592740115374417,0.004697039787065852,0.002815928845257483,0.00613412616149349,0.005747174764505256,0.005884577056898469,0.007638851507734217,0.0008123630479647314,0.0030534204920907426,0.002333219501010637,0.005747174764505256,0.005884577056898469,0.007638851507734217,0.0008123630479647314,0.0030534204920907426,0.002333219501010637
population,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176
