"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings"
"2020-01-01","Aruba","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Afghanistan","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Angola","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Albania","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Andorra","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","United Arab Emirates","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Argentina","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Australia","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Austria","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Azerbaijan","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Burundi","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Belgium","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Benin","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Burkina Faso","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Bangladesh","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Bulgaria","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Bahrain","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Bahamas","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Bosnia and Herzegovina","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Belarus","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Belize","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Bermuda","",0,3,2,4,2,3,2,4,2,3,1,4
"2020-01-01","Bolivia","",0,3,2,4,2,3,2,4,2,3,1,4
