CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,PrescriptionIndex
Aruba,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Afghanistan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Angola,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Albania,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Andorra,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United Arab Emirates,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Argentina,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Australia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Austria,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Azerbaijan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Burundi,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Belgium,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Benin,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Burkina Faso,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bangladesh,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bulgaria,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bahrain,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bahamas,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bosnia and Herzegovina,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Belarus,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Belize,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bermuda,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bolivia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Brazil,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Barbados,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Brunei,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Bhutan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Botswana,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Central African Republic,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Canada,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Switzerland,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Chile,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
China,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Cote d'Ivoire,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Cameroon,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Democratic Republic of Congo,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Congo,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Colombia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Comoros,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Cape Verde,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Costa Rica,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Cuba,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Cyprus,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Czech Republic,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Germany,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Djibouti,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Dominica,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Denmark,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Dominican Republic,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Algeria,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Ecuador,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Egypt,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Eritrea,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Spain,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Estonia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Ethiopia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Finland,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Fiji,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
France,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Faeroe Islands,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Gabon,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United Kingdom,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United Kingdom,England,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United Kingdom,Northern Ireland,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United Kingdom,Scotland,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United Kingdom,Wales,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Georgia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Ghana,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Guinea,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Gambia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Greece,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Greenland,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Guatemala,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Guam,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Guyana,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Hong Kong,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Honduras,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Croatia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Haiti,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Hungary,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Indonesia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
India,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Ireland,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Iran,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Iraq,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Iceland,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Israel,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Italy,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Jamaica,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Jordan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Japan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Kazakhstan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Kenya,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Kyrgyz Republic,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Cambodia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
South Korea,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Kuwait,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Laos,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Lebanon,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Liberia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Libya,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Sri Lanka,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Lesotho,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Lithuania,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Luxembourg,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Latvia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Macao,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Morocco,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Monaco,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Moldova,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Madagascar,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Mexico,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Mali,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Myanmar,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Mongolia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Mozambique,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Mauritania,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Mauritius,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Malawi,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Malaysia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Namibia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Niger,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Nigeria,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Nicaragua,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Netherlands,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Norway,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Nepal,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
New Zealand,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Oman,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Pakistan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Panama,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Peru,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Philippines,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Papua New Guinea,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Poland,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Puerto Rico,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Portugal,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Paraguay,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Palestine,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Qatar,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Kosovo,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Romania,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Russia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Rwanda,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Saudi Arabia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Sudan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Senegal,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Singapore,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Solomon Islands,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Sierra Leone,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
El Salvador,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
San Marino,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Somalia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Serbia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
South Sudan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Suriname,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Slovak Republic,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Slovenia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Sweden,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Eswatini,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Seychelles,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Syria,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Chad,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Togo,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Thailand,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Tajikistan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Timor-Leste,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Trinidad and Tobago,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Tunisia,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Turkey,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Taiwan,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Tanzania,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Uganda,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Ukraine,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
Uruguay,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Alaska,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Alabama,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Arkansas,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Arizona,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,California,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Colorado,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Connecticut,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Washington DC,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Delaware,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Florida,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Georgia,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Hawaii,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Iowa,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Idaho,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Illinois,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Indiana,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Kansas,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Kentucky,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Louisiana,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Massachusetts,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Maryland,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Maine,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Michigan,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Minnesota,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Missouri,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Mississippi,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Montana,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,North Carolina,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,North Dakota,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Nebraska,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,New Hampshire,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,New Jersey,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,New Mexico,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Nevada,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,New York,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Ohio,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Oklahoma,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Oregon,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Pennsylvania,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Rhode Island,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,South Carolina,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,South Dakota,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Tennessee,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Texas,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Utah,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Virginia,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Virgin Islands,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Vermont,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
United States,Washington,2020-01-01,3,3,2,4,2,3,2,4,2,3,2,4,5
