CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,PrescriptionIndex
Aruba,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Afghanistan,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Angola,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Albania,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Andorra,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
United Arab Emirates,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Argentina,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Australia,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Austria,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Azerbaijan,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Burundi,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Belgium,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Benin,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Burkina Faso,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bangladesh,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bulgaria,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bahrain,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bahamas,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bosnia and Herzegovina,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Belarus,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Belize,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bermuda,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bolivia,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Brazil,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Barbados,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Brunei,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Bhutan,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Botswana,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Central African Republic,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Canada,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Switzerland,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Chile,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
China,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
Cote d'Ivoire,,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,5
