"CountryName","RegionName","Date","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings"
"Aruba","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Afghanistan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Angola","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Albania","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Andorra","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"United Arab Emirates","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Argentina","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Australia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Austria","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Azerbaijan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Burundi","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Belgium","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Benin","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Burkina Faso","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bangladesh","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bulgaria","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bahrain","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bahamas","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bosnia and Herzegovina","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Belarus","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Belize","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bermuda","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bolivia","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Brazil","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Barbados","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Brunei","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Bhutan","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
"Botswana","","2020-11-01",0,0,0,0,0,2,0,0,0,0,0,2
