"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","avg_ratio","sd_ratio","ratio15days"
"2020-01-01","Afghanistan","",3,3,2,2,2,3,2,0,2,3,2,4,1.00867432118613,0.0299292578558953,0.833272324144195
"2020-01-01","Albania","",3,3,2,2,2,3,2,0,2,3,2,4,0.975692946766546,0.013254539627248,0.617153490097589
"2020-01-01","Algeria","",3,3,2,2,2,3,2,0,2,3,2,4,1.07222494329755,0.00693128880720365,2.4967028036468
"2020-01-01","Andorra","",3,3,2,2,2,3,2,0,2,3,2,4,0.983465360727863,0.0278810095794718,0.764469007899216
"2020-01-01","Angola","",3,3,2,2,2,3,2,0,2,3,2,4,1.07762668920234,0.00487779220718263,2.72916579828155
"2020-01-01","Argentina","",3,3,2,2,2,3,2,0,2,3,2,4,0.983365339324324,0.007607501653078,0.731322449455654
"2020-01-01","Aruba","",3,3,2,2,2,3,2,0,2,3,2,4,0.942162480066689,0.0213322684593999,0.447963460546081
"2020-01-01","Australia","",3,3,2,2,2,3,2,0,2,3,2,4,1.08098605247752,0.000293843561532677,2.97090543441593
"2020-01-01","Austria","",3,3,2,2,2,3,2,0,2,3,2,4,0.997801492151907,0.00612702633160138,0.91190886177829
"2020-01-01","Azerbaijan","",3,3,2,2,2,3,2,0,2,3,2,4,1.03751170476268,0.0068443248024944,1.57133845988355
"2020-01-01","Bahamas","",3,3,2,2,2,3,2,0,2,3,2,4,1.05026053447876,0.00427822560946209,1.91140759640933
"2020-01-01","Bahrain","",3,3,2,2,2,3,2,0,2,3,2,4,0.994893506579272,0.00544337434537687,0.880952696558131
"2020-01-01","Bangladesh","",3,3,2,2,2,3,2,0,2,3,2,4,1.07187070533233,0.00333976672426184,2.56973495733292
"2020-01-01","Barbados","",3,3,2,2,2,3,2,0,2,3,2,4,0.906460732117393,0.0058856084796561,0.236950651445516
