"Date","CountryName","RegionName","cases","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"South Sudan","",0,0,0,0,0,0,0
2020-01-02,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-03,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-04,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-05,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-06,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-07,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-08,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-09,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-10,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-11,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-12,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-13,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-14,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-15,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-16,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-17,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-18,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-19,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-20,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-21,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-22,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-23,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-24,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-25,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-26,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-27,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-28,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-29,"South Sudan","",0,0,0,NA,NA,0,0
2020-01-30,"South Sudan","",0,0,0,0,0,0,0
2020-01-31,"South Sudan","",0,0,0,0,0,0,0
2020-02-01,"South Sudan","",0,0,0,0,0,0,0
2020-02-02,"South Sudan","",0,0,0,0,0,0,0
2020-02-03,"South Sudan","",0,0,0,0,0,0,0
2020-02-04,"South Sudan","",0,0,0,0,0,0,0
2020-02-05,"South Sudan","",0,0,0,0,0,0,0
2020-02-06,"South Sudan","",0,0,0,0,0,0,0
2020-02-07,"South Sudan","",0,0,0,0,0,0,0
2020-02-08,"South Sudan","",0,0,0,0,0,0,0
2020-02-09,"South Sudan","",0,0,0,0,0,0,0
2020-02-10,"South Sudan","",0,0,0,0,0,0,0
2020-02-11,"South Sudan","",0,0,0,0,0,0,0
2020-02-12,"South Sudan","",0,0,0,0,0,0,0
2020-02-13,"South Sudan","",0,0,0,0,0,0,0
2020-02-14,"South Sudan","",0,0,0,0,0,0,0
2020-02-15,"South Sudan","",0,0,0,0,0,0,0
2020-02-16,"South Sudan","",0,0,0,0,0,0,0
2020-02-17,"South Sudan","",0,0,0,0,0,0,0
2020-02-18,"South Sudan","",0,0,0,0,0,0,0
2020-02-19,"South Sudan","",0,0,0,0,0,0,0
2020-02-20,"South Sudan","",0,0,0,0,0,0,0
2020-02-21,"South Sudan","",0,0,0,0,0,0,0
2020-02-22,"South Sudan","",0,0,0,0,0,0,0
2020-02-23,"South Sudan","",0,0,0,0,0,0,0
2020-02-24,"South Sudan","",0,0,0,0,0,0,0
2020-02-25,"South Sudan","",0,0,0,0,0,0,0
2020-02-26,"South Sudan","",0,0,0,0,0,0,0
2020-02-27,"South Sudan","",0,0,0,0,0,0,0
2020-02-28,"South Sudan","",0,0,0,0,0,0,0
2020-02-29,"South Sudan","",0,0,0,0,0,0,0
2020-03-01,"South Sudan","",0,0,0,0,0,0,0
2020-03-02,"South Sudan","",0,0,0,0,0,0,0
2020-03-03,"South Sudan","",0,0,0,0,0,0,0
2020-03-04,"South Sudan","",0,0,0,0,0,0,0
2020-03-05,"South Sudan","",0,0,0,0,0,0,0
2020-03-06,"South Sudan","",0,0,0,0,0,0,0
2020-03-07,"South Sudan","",0,0,0,0,0,0,0
2020-03-08,"South Sudan","",0,0,0,0,0,0,0
2020-03-09,"South Sudan","",0,0,0,0,0,0,0
2020-03-10,"South Sudan","",0,0,0,0,0,0,0
2020-03-11,"South Sudan","",0,0,0,0,0,0,0
2020-03-12,"South Sudan","",0,0,0,0,0,0,0
2020-03-13,"South Sudan","",0,0,0,0,0,0,0
2020-03-14,"South Sudan","",0,0,0,0,0,0,0
2020-03-15,"South Sudan","",0,0,0,0,0,0,0
2020-03-16,"South Sudan","",0,0,0,0,0,0,0
2020-03-17,"South Sudan","",0,0,0,0,0,0,0
2020-03-18,"South Sudan","",0,0,0,0,0,0,0
2020-03-19,"South Sudan","",0,0,0,0,0,0,0
2020-03-20,"South Sudan","",0,0,0,0,0,0,0
2020-03-21,"South Sudan","",0,0,0,0,0,0,0
2020-03-22,"South Sudan","",0,0,0,0,0,0,0
2020-03-23,"South Sudan","",0,0,0,0,0,0,0
2020-03-24,"South Sudan","",0,0,0,0,0,0,0
2020-03-25,"South Sudan","",0,0,0,0,0,0,0
2020-03-26,"South Sudan","",0,0,0,0,0,0,0
2020-03-27,"South Sudan","",0,0,0,0,0,0,0
2020-03-28,"South Sudan","",0,0,0,0,0,0,0
2020-03-29,"South Sudan","",0,0,0,0,0,0,0
2020-03-30,"South Sudan","",0,0,0,0,0,0,0
2020-03-31,"South Sudan","",0,0,0,0,0,0,0
2020-04-01,"South Sudan","",0,0,0,0,0,0,0
2020-04-02,"South Sudan","",0,0,0,0,0,0,0
2020-04-03,"South Sudan","",0,0,0,0,0,0,0
2020-04-04,"South Sudan","",0,0,0,0,0,0,0
2020-04-05,"South Sudan","",1,0.142857142857143,0,0.142857142857143,0,0,0
2020-04-06,"South Sudan","",0,0.142857142857143,0,0,0,0,0
2020-04-07,"South Sudan","",1,0.285714285714286,0,0.142857142857143,0,0,0
2020-04-08,"South Sudan","",0,0.285714285714286,0,0,0,0,0
2020-04-09,"South Sudan","",1,0.428571428571429,0,0.142857142857143,0,0,0
2020-04-10,"South Sudan","",1,0.571428571428571,0,0.142857142857143,0,0,0
2020-04-11,"South Sudan","",0,0.571428571428571,0,0,0,0.0357142857142857,0.0107142857142857
2020-04-12,"South Sudan","",0,0.428571428571429,0,-0.142857142857143,0,0.0357142857142857,0.0107142857142857
2020-04-13,"South Sudan","",0,0.428571428571429,0,0,0,0.0714285714285715,0.0214285714285714
2020-04-14,"South Sudan","",0,0.285714285714286,0,-0.142857142857143,0,0.0714285714285715,0.0214285714285714
2020-04-15,"South Sudan","",0,0.285714285714286,0,0,0,0.107142857142857,0.0321428571428572
2020-04-16,"South Sudan","",0,0.142857142857143,0,-0.142857142857143,0,0.142857142857143,0.0428571428571428
2020-04-17,"South Sudan","",0,0,0,-0.142857142857143,0,0.142857142857143,0.0428571428571428
2020-04-18,"South Sudan","",0,0,0,0,0,0.107142857142857,0.0321428571428572
2020-04-19,"South Sudan","",0,0,0,0,0,0.107142857142857,0.0321428571428572
2020-04-20,"South Sudan","",0,0,0,0,0,0.0714285714285715,0.0214285714285714
2020-04-21,"South Sudan","",0,0,0,0,0,0.0714285714285715,0.0214285714285714
2020-04-22,"South Sudan","",0,0,0,0,0,0.0357142857142857,0.0107142857142857
2020-04-23,"South Sudan","",1,0.142857142857143,0,0.142857142857143,0,0,0
2020-04-24,"South Sudan","",0,0.142857142857143,0,0,0,0,0
2020-04-25,"South Sudan","",0,0.142857142857143,0,0,0,0,0
2020-04-26,"South Sudan","",1,0.285714285714286,0,0.142857142857143,0,0,0
2020-04-27,"South Sudan","",0,0.285714285714286,0,0,0,0,0
2020-04-28,"South Sudan","",28,4.28571428571429,0,4,0,0,0
2020-04-29,"South Sudan","",0,4.28571428571429,0,0,0,0.0357142857142857,0.0107142857142857
2020-04-30,"South Sudan","",1,4.28571428571429,0,0,0,0.0357142857142857,0.0107142857142857
2020-05-01,"South Sudan","",10,5.71428571428571,0,1.42857142857143,0,0.0357142857142857,0.0107142857142857
2020-05-02,"South Sudan","",0,5.71428571428571,0,0,0,0.0714285714285715,0.0214285714285714
2020-05-03,"South Sudan","",1,5.71428571428571,0,0,0,0.0714285714285715,0.0214285714285714
2020-05-04,"South Sudan","",0,5.71428571428571,0,0,0,1.07142857142857,0.321428571428572
2020-05-05,"South Sudan","",6,2.57142857142857,0,-3.14285714285714,0,1.07142857142857,0.321428571428572
2020-05-06,"South Sudan","",6,3.42857142857143,0,0.857142857142857,0,1.07142857142857,0.321428571428572
2020-05-07,"South Sudan","",16,5.57142857142857,0,2.14285714285714,0,1.42857142857143,0.428571428571428
2020-05-08,"South Sudan","",46,10.7142857142857,0,5.14285714285714,0,1.42857142857143,0.428571428571428
2020-05-09,"South Sudan","",0,10.7142857142857,0,0,0,1.42857142857143,0.428571428571428
2020-05-10,"South Sudan","",0,10.5714285714286,0,-0.142857142857142,0,1.42857142857143,0.428571428571428
2020-05-11,"South Sudan","",36,15.7142857142857,0,5.14285714285714,0,0.642857142857142,0.192857142857143
2020-05-12,"South Sudan","",38,20.2857142857143,0,4.57142857142857,0,0.857142857142858,0.257142857142857
2020-05-13,"South Sudan","",9,20.7142857142857,0,0.428571428571431,0,1.39285714285714,0.417857142857143
2020-05-14,"South Sudan","",0,18.4285714285714,0,-2.28571428571429,0,2.67857142857142,0.803571428571427
2020-05-15,"South Sudan","",33,16.5714285714286,0.571428571428571,-1.85714285714285,0.571428571428571,2.67857142857142,0.803571428571427
2020-05-16,"South Sudan","",0,16.5714285714286,0.571428571428571,0,0,2.64285714285715,0.792857142857145
2020-05-17,"South Sudan","",54,24.2857142857143,0.571428571428571,7.71428571428571,0,3.92857142857142,1.17857142857143
2020-05-18,"South Sudan","",0,19.1428571428571,0.571428571428571,-5.14285714285714,0,5.07142857142857,1.52142857142857
2020-05-19,"South Sudan","",0,13.7142857142857,0.571428571428571,-5.42857142857143,0,5.17857142857143,1.55357142857143
2020-05-20,"South Sudan","",0,12.4285714285714,0.571428571428571,-1.28571428571428,0,4.60714285714285,1.38214285714285
