"Date","CountryName","RegionName","cases","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"United States","Kentucky",0,0,0,0,0,0,0
2020-01-02,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-03,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-04,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-05,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-06,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-07,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-08,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-09,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-10,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-11,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-12,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-13,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-14,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-15,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-16,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-17,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-18,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-19,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-20,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-21,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-22,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-23,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-24,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-25,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-26,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-27,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-28,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-29,"United States","Kentucky",0,0,0,NA,NA,0,0
2020-01-30,"United States","Kentucky",0,0,0,0,0,0,0
2020-01-31,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-01,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-02,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-03,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-04,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-05,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-06,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-07,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-08,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-09,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-10,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-11,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-12,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-13,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-14,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-15,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-16,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-17,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-18,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-19,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-20,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-21,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-22,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-23,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-24,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-25,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-26,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-27,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-28,"United States","Kentucky",0,0,0,0,0,0,0
2020-02-29,"United States","Kentucky",0,0,0,0,0,0,0
2020-03-01,"United States","Kentucky",0,0,0,0,0,0,0
2020-03-02,"United States","Kentucky",0,0,0,0,0,0,0
2020-03-03,"United States","Kentucky",0,0,0,0,0,0,0
2020-03-04,"United States","Kentucky",0,0,0,0,0,0,0
2020-03-05,"United States","Kentucky",0,0,0,0,0,0,0
2020-03-06,"United States","Kentucky",1,0.142857142857143,0,0.142857142857143,0,0,0
2020-03-07,"United States","Kentucky",0,0.142857142857143,0,0,0,0,0
2020-03-08,"United States","Kentucky",0,0.142857142857143,0,0,0,0,0
2020-03-09,"United States","Kentucky",3,0.571428571428571,0,0.428571428571429,0,0,0
2020-03-10,"United States","Kentucky",1,0.714285714285714,0,0.142857142857143,0,0,0
2020-03-11,"United States","Kentucky",3,1.14285714285714,0,0.428571428571428,0,0,0
2020-03-12,"United States","Kentucky",2,1.42857142857143,0,0.285714285714286,0,0.0357142857142857,0.0107142857142857
2020-03-13,"United States","Kentucky",4,1.85714285714286,0,0.428571428571429,0,0.0357142857142857,0.0107142857142857
2020-03-14,"United States","Kentucky",2,2.14285714285714,0,0.285714285714286,0,0.0357142857142857,0.0107142857142857
2020-03-15,"United States","Kentucky",2,2.42857142857143,0,0.285714285714286,0,0.142857142857143,0.0428571428571428
2020-03-16,"United States","Kentucky",3,2.42857142857143,0.142857142857143,0,0.142857142857143,0.178571428571428,0.0535714285714285
2020-03-17,"United States","Kentucky",5,3,0.142857142857143,0.571428571428572,0,0.285714285714285,0.0857142857142855
2020-03-18,"United States","Kentucky",2,2.85714285714286,0.142857142857143,-0.142857142857143,0,0.357142857142857,0.107142857142857
2020-03-19,"United States","Kentucky",22,5.71428571428571,0.285714285714286,2.85714285714286,0.142857142857143,0.464285714285715,0.139285714285715
2020-03-20,"United States","Kentucky",14,7.14285714285714,0.285714285714286,1.42857142857143,0,0.535714285714285,0.160714285714286
2020-03-21,"United States","Kentucky",23,10.1428571428571,0.428571428571429,3,0.142857142857143,0.607142857142858,0.182142857142857
2020-03-22,"United States","Kentucky",16,12.1428571428571,0.428571428571429,2,0,0.607142857142858,0.182142857142857
2020-03-23,"United States","Kentucky",20,14.5714285714286,0.428571428571429,2.42857142857143,0,0.75,0.225
2020-03-24,"United States","Kentucky",39,19.4285714285714,0.428571428571429,4.85714285714286,0,0.714285714285715,0.214285714285714
2020-03-25,"United States","Kentucky",35,24.1428571428571,0.571428571428571,4.71428571428572,0.142857142857143,1.42857142857143,0.428571428571428
2020-03-26,"United States","Kentucky",50,28.1428571428571,0.428571428571429,4,-0.142857142857143,1.78571428571428,0.535714285714285
2020-03-27,"United States","Kentucky",54,33.8571428571429,0.714285714285714,5.71428571428571,0.285714285714286,2.53571428571427,0.760714285714282
2020-03-28,"United States","Kentucky",79,41.8571428571429,0.857142857142857,8,0.142857142857143,3.03571428571427,0.910714285714282
2020-03-29,"United States","Kentucky",58,47.8571428571429,0.857142857142857,6,0,3.64285714285715,1.09285714285714
2020-03-30,"United States","Kentucky",41,50.8571428571429,1,3,0.142857142857143,4.85714285714285,1.45714285714285
2020-03-31,"United States","Kentucky",149,66.5714285714286,1,15.7142857142857,0,6.03571428571427,1.81071428571428
2020-04-01,"United States","Kentucky",4,62.1428571428571,1.85714285714286,-4.42857142857142,0.857142857142857,7.03571428571427,2.11071428571428
2020-04-02,"United States","Kentucky",138,74.7142857142857,3.71428571428571,12.5714285714286,1.85714285714286,8.46428571428572,2.53928571428572
2020-04-03,"United States","Kentucky",0,67,3.85714285714286,-7.71428571428571,0.142857142857143,10.4642857142857,3.13928571428572
