"Date","CountryName","RegionName","cases","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","X","date","estimate","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"Greece","",0,NA,0,0,0,NA,NA,0,0,0
2020-01-02,"Greece","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-03,"Greece","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-04,"Greece","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-05,"Greece","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-06,"Greece","",0,NA,0,NA,NA,NA,NA,0,0,0
2020-01-07,"Greece","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-08,"Greece","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-09,"Greece","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-10,"Greece","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-11,"Greece","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-12,"Greece","",0,0,0,NA,NA,NA,NA,0,NA,NA
2020-01-13,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-14,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-15,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-16,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-17,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-18,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-19,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-20,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-21,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-22,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-23,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-24,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-25,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-26,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-27,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-28,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-29,"Greece","",0,0,0,NA,NA,NA,NA,0,0,0
2020-01-30,"Greece","",0,0,0,0,0,NA,NA,0,0,0
