"Date","CountryName","RegionName","cases","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","isSpecialty","PredictedDailyNewHospital","PredictedDailyNewICU"
2020-01-01,"Mozambique","",0,0,0,0,0,0,0,0
2020-01-02,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-03,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-04,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-05,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-06,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-07,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-08,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-09,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-10,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-11,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-12,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-13,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-14,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-15,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-16,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-17,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-18,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-19,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-20,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-21,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-22,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-23,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-24,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-25,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-26,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-27,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-28,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-29,"Mozambique","",0,0,0,NA,NA,0,0,0
2020-01-30,"Mozambique","",0,0,0,0,0,0,0,0
2020-01-31,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-01,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-02,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-03,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-04,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-05,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-06,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-07,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-08,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-09,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-10,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-11,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-12,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-13,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-14,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-15,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-16,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-17,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-18,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-19,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-20,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-21,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-22,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-23,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-24,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-25,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-26,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-27,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-28,"Mozambique","",0,0,0,0,0,0,0,0
2020-02-29,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-01,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-02,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-03,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-04,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-05,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-06,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-07,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-08,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-09,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-10,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-11,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-12,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-13,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-14,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-15,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-16,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-17,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-18,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-19,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-20,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-21,"Mozambique","",0,0,0,0,0,0,0,0
2020-03-22,"Mozambique","",1,0.142857142857143,0,0.142857142857143,0,0,0,0
2020-03-23,"Mozambique","",0,0.142857142857143,0,0,0,0,0,0
2020-03-24,"Mozambique","",2,0.428571428571429,0,0.285714285714286,0,0,0,0
2020-03-25,"Mozambique","",2,0.714285714285714,0,0.285714285714286,0,0,0,0
2020-03-26,"Mozambique","",2,1,0,0.285714285714286,0,0,0,0
2020-03-27,"Mozambique","",0,1,0,0,0,0,0,0
2020-03-28,"Mozambique","",1,1.14285714285714,0,0.142857142857143,0,0,0.0357142857142857,0.0107142857142857
2020-03-29,"Mozambique","",0,1,0,-0.142857142857143,0,0,0.0357142857142857,0.0107142857142857
2020-03-30,"Mozambique","",0,1,0,0,0,0,0.107142857142857,0.0321428571428572
2020-03-31,"Mozambique","",0,0.714285714285714,0,-0.285714285714286,0,0,0.178571428571428,0.0535714285714285
2020-04-01,"Mozambique","",2,0.714285714285714,0,0,0,0,0.25,0.075
2020-04-02,"Mozambique","",0,0.428571428571429,0,-0.285714285714286,0,0,0.25,0.075
2020-04-03,"Mozambique","",0,0.428571428571429,0,0,0,0,0.285714285714285,0.0857142857142855
2020-04-04,"Mozambique","",0,0.285714285714286,0,-0.142857142857143,0,0,0.25,0.075
2020-04-05,"Mozambique","",0,0.285714285714286,0,0,0,0,0.25,0.075
2020-04-06,"Mozambique","",0,0.285714285714286,0,0,0,0,0.178571428571428,0.0535714285714285
2020-04-07,"Mozambique","",0,0.285714285714286,0,0,0,0,0.178571428571428,0.0535714285714285
2020-04-08,"Mozambique","",7,1,0,0.714285714285714,0,0,0.107142857142857,0.0321428571428572
2020-04-09,"Mozambique","",0,1,0,0,0,0,0.107142857142857,0.0321428571428572
2020-04-10,"Mozambique","",3,1.42857142857143,0,0.428571428571429,0,0,0.0714285714285715,0.0214285714285714
2020-04-11,"Mozambique","",0,1.42857142857143,0,0,0,0,0.0714285714285715,0.0214285714285714
2020-04-12,"Mozambique","",1,1.57142857142857,0,0.142857142857143,0,0,0.0714285714285715,0.0214285714285714
2020-04-13,"Mozambique","",0,1.57142857142857,0,0,0,0,0.0714285714285715,0.0214285714285714
2020-04-14,"Mozambique","",7,2.57142857142857,0,1,0,0,0.25,0.075
2020-04-15,"Mozambique","",1,1.71428571428571,0,-0.857142857142857,0,0,0.25,0.075
2020-04-16,"Mozambique","",2,2,0,0.285714285714286,0,0,0.357142857142857,0.107142857142857
2020-04-17,"Mozambique","",3,2,0,0,0,0,0.357142857142857,0.107142857142857
2020-04-18,"Mozambique","",1,2.14285714285714,0,0.142857142857143,0,0,0.392857142857143,0.117857142857143
2020-04-19,"Mozambique","",4,2.57142857142857,0,0.428571428571429,0,0,0.392857142857143,0.117857142857143
2020-04-20,"Mozambique","",0,2.57142857142857,0,0,0,0,0.642857142857142,0.192857142857143
2020-04-21,"Mozambique","",0,1.57142857142857,0,-1,0,0,0.428571428571427,0.128571428571428
2020-04-22,"Mozambique","",2,1.71428571428571,0,0.142857142857143,0,0,0.5,0.15
2020-04-23,"Mozambique","",5,2.14285714285714,0,0.428571428571429,0,0,0.5,0.15
2020-04-24,"Mozambique","",19,4.42857142857143,0,2.28571428571429,0,0,0.535714285714285,0.160714285714286
2020-04-25,"Mozambique","",5,5,0,0.571428571428571,0,0,0.642857142857142,0.192857142857143
2020-04-26,"Mozambique","",6,5.28571428571429,0,0.285714285714286,0,0,0.642857142857142,0.192857142857143
2020-04-27,"Mozambique","",0,5.28571428571429,0,0,0,0,0.392857142857143,0.117857142857143
2020-04-28,"Mozambique","",0,5.28571428571429,0,0,0,0,0.428571428571427,0.128571428571428
2020-04-29,"Mozambique","",0,5,0,-0.285714285714286,0,0,0.535714285714285,0.160714285714286
2020-04-30,"Mozambique","",0,4.28571428571429,0,-0.714285714285714,0,0,1.10714285714286,0.332142857142857
2020-05-01,"Mozambique","",3,2,0,-2.28571428571429,0,0,1.25,0.375
2020-05-02,"Mozambique","",0,1.28571428571429,0,-0.714285714285714,0,0,1.32142857142857,0.396428571428572
2020-05-03,"Mozambique","",1,0.571428571428571,0,-0.714285714285714,0,0,1.32142857142857,0.396428571428572
2020-05-04,"Mozambique","",0,0.571428571428571,0,0,0,0,1.32142857142857,0.396428571428572
2020-05-05,"Mozambique","",1,0.714285714285714,0,0.142857142857143,0,0,1.25,0.375
2020-05-06,"Mozambique","",0,0.714285714285714,0,0,0,0,1.07142857142857,0.321428571428572
2020-05-07,"Mozambique","",0,0.714285714285714,0,0,0,0,0.5,0.15
2020-05-08,"Mozambique","",1,0.428571428571429,0,-0.285714285714286,0,0,0.321428571428573,0.0964285714285718
