Date,CountryName,RegionName,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
2020-01-01,Afghanistan,,3,3,2,4,2,2,2,3,2,1,1,3
2020-01-01,Albania,,3,2,2,2,2,2,2,2,2,1,1,0
2020-01-01,Algeria,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Andorra,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Aruba,,3,0,0,0,0,0,0,4,2,1,1,0
2020-01-01,Australia,,2,2,2,4,1,2,2,4,2,3,2,1
2020-01-01,Austria,,2,3,2,4,1,2,2,3,2,1,1,0
2020-01-01,Azerbaijan,,3,3,2,4,1,2,2,4,2,2,2,3
2020-01-01,Barbados,,3,3,2,4,0,3,2,2,2,1,2,0
2020-01-01,Belgium,,2,3,2,4,0,2,0,3,2,2,2,3
2020-01-01,Bermuda,,3,3,1,4,1,1,1,4,2,1,2,1
2020-01-01,Bosnia and Herzegovina,,3,3,2,4,2,3,2,3,2,2,0,3
2020-01-01,Botswana,,3,1,1,3,0,1,2,4,2,1,1,3
2020-01-01,Brazil,,3,3,2,3,2,1,2,4,2,1,2,4
2020-01-01,Bulgaria,,3,1,2,4,0,0,0,3,2,1,0,0
2020-01-01,China,,3,3,2,4,2,1,2,0,2,1,2,3
2020-01-01,Croatia,,3,0,2,0,0,0,0,1,2,1,2,0
2020-01-01,Cuba,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Cyprus,,3,0,2,0,0,0,0,2,2,0,1,0
2020-01-01,Czech Republic,,3,2,2,3,0,0,0,3,2,1,2,0
2020-01-01,Democratic Republic of Congo,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Denmark,,3,1,1,3,1,1,1,4,2,1,1,0
2020-01-01,Estonia,,3,3,2,4,0,2,2,3,2,1,0,0
2020-01-01,Finland,,2,2,2,4,0,1,0,3,2,2,1,2
2020-01-01,Gabon,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Georgia,,3,3,2,0,0,1,0,4,2,1,2,0
2020-01-01,Germany,,3,0,2,4,0,2,2,4,2,1,1,0
2020-01-01,Greece,,3,2,2,4,1,2,2,3,2,2,0,0
2020-01-01,Greenland,,3,2,2,3,1,1,2,4,2,1,2,0
2020-01-01,Guinea,,3,2,2,3,1,2,2,4,2,2,1,4
2020-01-01,Guyana,,3,3,2,4,0,2,2,4,2,1,2,1
2020-01-01,Hong Kong,,3,2,2,3,0,1,0,4,2,2,2,1
2020-01-01,India,,3,3,2,4,2,3,2,4,2,1,2,1
2020-01-01,Indonesia,,3,3,2,4,0,2,1,4,2,1,1,4
2020-01-01,Iran,,3,3,2,4,1,2,2,1,2,1,1,3
2020-01-01,Ireland,,3,3,2,4,2,1,1,0,2,1,1,0
2020-01-01,Israel,,2,3,2,4,1,2,2,4,2,3,2,3
2020-01-01,Italy,,3,3,2,4,1,2,2,3,2,2,2,0
2020-01-01,Jamaica,,3,2,2,4,0,2,2,4,2,1,1,1
2020-01-01,Japan,,3,1,1,0,0,1,1,3,2,1,1,1
2020-01-01,Jordan,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Kazakhstan,,3,2,2,4,2,2,2,4,2,3,2,2
2020-01-01,Kenya,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Kyrgyz Republic,,3,2,2,4,2,2,2,4,1,1,1,0
2020-01-01,Latvia,,3,2,1,2,0,1,0,2,2,3,2,2
2020-01-01,Lebanon,,3,3,2,4,1,2,1,4,2,1,1,2
2020-01-01,Lithuania,,3,3,2,4,1,1,1,4,2,2,2,0
2020-01-01,Luxembourg,,2,1,2,3,1,1,1,0,2,3,2,3
2020-01-01,Malaysia,,3,3,2,2,0,2,2,2,2,3,2,3
2020-01-01,Moldova,,3,2,2,4,2,2,2,4,1,2,2,2
2020-01-01,Myanmar,,3,3,2,4,2,2,2,3,2,2,1,0
2020-01-01,Namibia,,3,2,1,3,0,1,0,4,2,1,2,2
2020-01-01,Nepal,,3,3,1,4,2,2,2,4,2,2,2,4
2020-01-01,New Zealand,,3,3,2,4,2,2,2,4,2,2,2,0
2020-01-01,Norway,,3,2,2,4,1,0,2,4,2,1,0,0
2020-01-01,Oman,,3,2,2,4,2,2,2,4,2,2,1,3
2020-01-01,Pakistan,,3,2,2,4,2,2,2,3,2,2,1,3
2020-01-01,Panama,,3,3,2,3,0,1,0,3,1,2,1,0
2020-01-01,Papua New Guinea,,3,2,2,2,1,2,2,4,2,2,2,0
2020-01-01,Paraguay,,3,3,2,3,0,2,2,3,1,2,1,0
2020-01-01,Peru,,3,3,2,4,1,3,2,4,2,1,1,3
2020-01-01,Poland,,3,2,2,4,1,1,2,3,2,2,1,3
2020-01-01,Portugal,,3,3,2,4,1,2,1,3,2,2,0,0
2020-01-01,Romania,,3,2,2,4,0,2,2,3,2,2,2,4
2020-01-01,Rwanda,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,San Marino,,3,2,2,4,2,1,1,4,2,1,2,0
2020-01-01,Saudi Arabia,,3,3,2,4,2,3,2,4,2,3,2,4
2020-01-01,Senegal,,3,0,2,4,0,3,2,4,2,1,2,0
2020-01-01,Serbia,,3,3,2,4,2,3,2,4,2,1,2,0
2020-01-01,Sierra Leone,,3,3,2,4,1,3,2,4,1,2,2,0
2020-01-01,Slovak Republic,,2,2,2,0,0,2,2,2,2,3,2,4
2020-01-01,South Africa,,3,3,2,3,1,2,2,4,2,2,2,1
2020-01-01,South Korea,,3,1,2,2,0,2,2,3,2,3,2,1
2020-01-01,South Sudan,,3,2,2,3,2,2,1,3,2,1,2,3
2020-01-01,Spain,,3,3,2,4,1,2,1,4,2,2,1,2
2020-01-01,Sri Lanka,,3,0,2,4,2,2,2,4,2,2,2,4
2020-01-01,Sudan,,3,2,2,3,1,1,2,4,2,2,1,0
2020-01-01,Suriname,,3,2,2,4,2,2,2,2,2,2,1,4
2020-01-01,Switzerland,,2,3,2,4,0,1,0,3,2,2,2,3
2020-01-01,Tajikistan,,0,2,2,3,2,0,2,4,2,1,1,3
